hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,auc
"(64, 32)",81,0.28778758791422526,0.05384851680995688,0.0980783434186231,0.6844600791076937,0.6385484059053745
"(64,)",96,0.1372712064603478,0.07832397659072333,0.04391336724349449,0.06055854081634922,0.7012094839813114
"(64, 32)",81,0.28778758791422526,0.05384851680995688,0.0980783434186231,0.6844600791076937,0.6385484059053745
"(64,)",96,0.1372712064603478,0.07832397659072333,0.04391336724349449,0.06055854081634922,0.7012094839813114
"(64,)",113,0.07299669218140001,0.034036140491799406,0.053201982246799666,0.5317639319226724,0.6931344617963382
"(64, 32)",78,0.15251017603397135,0.08705299842605078,0.0009697036534752666,0.2690024197900586,0.6982540473355278
"(64, 32)",118,0.05235914167740284,0.03695804284610979,0.005304133555266984,0.8856190515489126,0.6782077670160642
"(64,)",106,0.24957335154654806,0.0967315956480578,0.045794046257800584,0.2030247133132719,0.6994237121338532
"(64,)",126,0.2880159815039511,0.08519595196091702,0.008179597369632346,0.16366950475179431,0.7096237750860853
"(64,)",86,0.34370660857158364,0.07892824697394844,0.05427280724059175,0.1749035001059834,0.6966287136128515
"(64, 32)",81,0.395928345226438,0.09583088760928861,0.08349582967592613,0.10499631065703924,0.6606349453149887
"(64,)",82,0.3716490216845476,0.08263923070199872,0.06473883175129518,0.1309195762823955,0.6933817910668507
"(64,)",69,0.2774470674673978,0.04368902625836821,0.04205291562811311,0.733608916593489,0.6905703434309725
"(64,)",97,0.23438803256791285,0.08617673001166425,0.07046294658417077,0.04882535884174448,0.694491063437647
"(64, 32)",98,0.22161296674082043,0.08459697670476571,0.01769876599046877,0.022017154651574358,0.6990839691761601
"(64,)",75,0.3851952652300708,0.09149841292497848,0.00661715210099191,0.055079048751981365,0.699867459005203
"(64, 32)",118,0.37126806721654215,0.06455531891960752,0.0037545539250018224,0.023482664387368797,0.6911856920194772
"(64,)",64,0.31088082780983317,0.09030610467743865,0.03832177920817733,0.8514955771472472,0.6757681547032144
"(64,)",98,0.12386666088060963,0.08407883556234458,0.07491096898995693,0.022278886273983233,0.6949194988850629
"(64, 32)",74,0.0839268852577837,0.08737017299368943,0.01216416506519429,0.15751577856628077,0.6981817328549974
"(64,)",120,0.2725843506077335,0.08968819048286385,0.07895151120710375,0.1703876196908243,0.6906645347602506
"(64,)",104,0.20027095754443866,0.07849893006683441,0.07836213506414262,0.10054084488067837,0.6930173981387375
"(64,)",76,0.07936945018765067,0.07498481635648797,0.0798623439605696,0.04176679541310266,0.6917418806789739
"(64,)",99,0.23134339495209377,0.09638666608168683,0.08125495721021636,0.3588522553216584,0.6871673439088027
"(64,)",79,0.035867875340274406,0.07967764419000274,0.019459758288294698,0.6161965916647837,0.6853976419459067
"(64,)",109,0.2663664960141012,0.04201158430059666,0.08154016919294545,0.11150772969893033,0.6905577814268162
"(64,)",119,0.17635561221640628,0.08632062648621479,0.08207644910108595,0.118725148914393,0.6869857162902173
"(64, 32)",73,0.14904104235592117,0.07871094120710388,0.0817644438597772,0.024988727022296656,0.6573247150084189
"(64,)",84,0.3702879697460842,0.03878454580208755,0.08157342954305863,0.05323772077357586,0.6885223101193817
"(64, 32)",73,0.272378068149377,0.08454568178986652,0.012257961305327523,0.08891865545512129,0.6918594657782564
