hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,f1_score
"(64,)",79,0.22373842672719957,0.09880762895367423,0.0699339026693191,0.6182109906012957,0.4178272980501393
"(64,)",73,0.2515646491713433,0.0432857859907995,0.06300410221448577,0.7807507436642185,0.397770811563915
"(64, 32)",148,0.240317041303969,0.07537704034774473,0.06957638690748326,0.44712305522312146,0.3897596656217346
"(64,)",72,0.09268222092006989,0.09432853631833932,0.045042642394023676,0.13392978937206954,0.45244727417429365
"(64, 32)",90,0.36810544495355607,0.022654387766677483,0.01220165055094033,0.9931355806391015,0.4728538283062645
"(64,)",66,0.3794752368403625,0.03555412904741774,0.06157589311763253,0.41139391478912846,0.43215280541185835
"(64,)",150,0.22046169936444648,0.08482098037412102,0.0001,0.46079119680671293,0.4656913967258795
"(64,)",64,0.0,0.1,0.01967475622511784,0.001,0.45846867749419956
"(64, 32)",112,0.3806158752306238,0.03582477308499116,0.0001,0.6271083463789593,0.4313569438917628
"(64,)",150,0.4,0.039648830515115835,0.0001,0.001,0.4510440835266821
"(64, 32)",85,0.015114465356363982,0.02,0.1,0.999,0.5089534421010744
"(64, 32)",64,0.02689056505494843,0.050396409488206555,0.1,0.999,0.5093513728611222
"(64, 32)",64,0.4,0.1,0.07686518289206018,0.999,0.5182863113897597
"(64, 32)",64,0.22747862181725284,0.09966641783850455,0.07124445052523436,0.488095640966346,0.39150121908742597
"(64, 32)",150,0.4,0.02,0.1,0.999,0.5186346220828979
"(64, 32)",148,0.39003914443955096,0.04848208912379757,0.0001,0.001,0.41448972483455243
"(64, 32)",64,0.4,0.1,0.09019791974814122,0.9425300347037004,0.4709160571229537
"(64,)",64,0.4,0.1,0.09443214416342058,0.999,0.5045762037405491
"(64,)",120,0.0,0.09079009738866756,0.0001,0.2889667978859894,0.46357308584686774
"(64,)",115,0.4,0.08391813469610385,0.1,0.001,0.4235458028561477
"(64,)",65,0.4,0.09550065351852352,0.04560537275504657,0.999,0.4863109048723898
