accuracy,precision,recall,f1_score,auc,version,eps,delta,timestamp
0.7063803788077158,0.3446088794926004,0.4886509635974304,0.404179950407368,0.6588171195411052,202505082047,1,1e-05,2025-05-08 21:10:40
0.7780396264292572,0.4610194902548725,0.5267665952890792,0.4917049770137917,0.7402542128191393,202505090029,1,1e-05,2025-05-09 00:40:35
0.7729772191673213,0.450849963045085,0.5224839400428265,0.4840309462408252,0.7269091313702855,202505090042,1,1e-05,2025-05-09 01:23:38
0.772191673212883,0.4487513976891539,0.5156316916488223,0.4798724591470705,0.7342811012461579,202505090123,3,1e-05,2025-05-09 01:52:19
0.7784760408483896,0.4632379572618616,0.5477516059957174,0.5019623233908949,0.7400709957384717,202505090152,5,1e-05,2025-05-09 02:28:07
0.776904948939513,0.4581914491108588,0.5186295503211992,0.4865407794294897,0.7234893687144568,202505090426,1,1e-05,2025-05-09 05:08:01
0.7681766605568648,0.4405775638652351,0.5096359743040685,0.4725972994440032,0.7287102221750649,202505090508,3,1e-05,2025-05-09 05:43:32
0.7823164877367548,0.4701912260967379,0.5370449678800856,0.5013994402239105,0.7444882292708828,202505090543,5,1e-05,2025-05-09 11:42:06
0.7357947106572401,0.3973902728351127,0.5738758029978587,0.4695987383914491,0.7263803018516075,202505091312,1,1e-05,2025-05-09 14:02:26
0.7735881993541066,0.4520902700702923,0.523340471092077,0.4851131401349742,0.7275486423156573,202505091411,1,1e-05,2025-05-09 15:06:29
0.7854586715545082,0.4774146162320969,0.556745182012848,0.5140371688414394,0.7502055411605799,202505091506,3,1e-05,2025-05-09 15:50:23
0.7846731256000699,0.4756637168141593,0.5524625267665952,0.5111947691698039,0.7509993722966384,202505091550,5,1e-05,2025-05-09 16:30:29
0.7982019725931745,0.5057817998994469,0.4308351177730192,0.4653098982423682,0.7118524197565524,202505091630,1,1e-05,2025-05-09 17:16:04
0.7919176049576678,0.4876946258161728,0.4158458244111349,0.4489135460009246,0.6896174483694031,202505091716,3,1e-05,2025-05-09 17:51:23
0.784149428297111,0.4749090909090909,0.5593147751605996,0.5136676499508358,0.7508126340677196,202505091751,5,1e-05,2025-05-09 18:28:04
0.7490617089988654,0.421784472769409,0.6235546038543898,0.503196820459651,0.744979851989707,202505091948,3,1e-05,2025-05-09 20:26:36
0.7112682203019988,0.357456782888954,0.5224839400428265,0.4244954766875435,0.6926311052602668,202505092026,5,1e-05,2025-05-09 21:02:34
0.7294230601379069,0.3849624060150376,0.5481798715203426,0.4522968197879858,0.7157833357668381,202505092102,1,1e-05,2025-05-09 21:46:48
0.7419045125250938,0.4085831863609641,0.5952890792291221,0.4845738190691999,0.734786339071553,202505092146,3,1e-05,2025-05-10 00:28:40
0.7148468185388845,0.3600600600600601,0.5134903640256959,0.4233009708737864,0.6913120596510682,202505100028,5,1e-05,2025-05-10 01:06:55
0.8233394431352011,0.7723292469352014,0.188865096359743,0.3035099793530626,0.6721544544638065,202505100107,1,1e-05,2025-05-10 02:05:37
0.8239504233219865,0.7713310580204779,0.1935760171306209,0.3094830537487162,0.7000670426627017,202505100205,3,1e-05,2025-05-10 02:47:10
0.8240377062058131,0.774526678141136,0.1927194860813704,0.3086419753086419,0.703237672342601,202505100247,5,1e-05,2025-05-10 03:39:04
0.821506502574845,0.75,0.1862955032119914,0.2984562607204116,0.6942955989872239,202505100339,1,1e-05,2025-05-10 04:25:15
0.8240377062058131,0.7803163444639719,0.1901498929336188,0.3057851239669421,0.654971861330609,202505100425,3,1e-05,2025-05-10 05:06:20
0.8240377062058131,0.7717206132879046,0.1940042826552462,0.3100616016427104,0.6843517120057541,202505100506,5,1e-05,2025-05-10 05:44:43
0.6332373221611242,0.225198704739476,0.3276231263383297,0.2669225401256106,0.5287242363451045,202505262050,1,1e-05,2025-05-27 21:50:14
0.6458060574321376,0.2442861383199762,0.3524625267665953,0.2885694249649368,0.5555875693138033,202505262138,3,1e-05,2025-05-27 20:33:03
0.6607314305664659,0.2684964200477327,0.3854389721627409,0.3165113416564094,0.5835997590595623,202505262201,5,1e-05,2025-05-27 20:57:24
0.6573273980972332,0.2623244696743352,0.376017130620985,0.3090461105244632,0.5607403707158776,202505262228,1,1e-05,2025-05-27 20:17:36
0.6907567426027756,0.3246225319396051,0.4788008565310492,0.3869181519293995,0.6394853114126987,202505262252,3,1e-05,2025-05-27 20:33:56
0.7394605917779523,0.3806024981631153,0.4436830835117773,0.4097290883923274,0.6609607006991123,202505262316,5,1e-05,2025-05-27 21:17:56
0.6318407960199005,0.2225169466548777,0.3233404710920771,0.2636173184357542,0.5258765429084779,202505262341,1,1e-05,2025-05-27 21:52:43
0.6363795059788775,0.2330125400991542,0.3421841541755888,0.2772380291464261,0.5462715969627984,202505270006,3,1e-05,2025-05-27 16:55:42
0.6560181548398359,0.2617210682492581,0.3777301927194861,0.30920245398773,0.579210060906475,202505270035,5,1e-05,2025-05-27 16:56:09
0.6589857728899363,0.265792610250298,0.3820128479657387,0.3134774204884906,0.5639962591320979,202505270059,1,1e-05,2025-05-27 21:50:40
0.6956445840970585,0.3275449101796407,0.4685224839400428,0.3855506607929515,0.6362901745409713,202505270125,3,1e-05,2025-05-27 16:55:55
0.7434756044339705,0.3908959537572254,0.4633832976445396,0.4240642759161278,0.6765036124633625,202505270147,5,1e-05,2025-05-27 16:56:34
0.6340228681155625,0.2249851983422143,0.3254817987152034,0.2660598634692805,0.5285348924664799,202505270220,1,1e-05,2025-05-27 18:45:46
