hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,auc
"(64,)",70,0.03744333007935921,0.0034106934565121053,0.08271666254872322,0.18658037156306806,665,0.694413605645981
"(64, 32)",129,0.31352886975671385,0.004296346450792497,0.027694039349256867,0.7801736467088003,520,0.6828247538795261
"(64, 32)",141,0.2169666980735474,0.0003152223324745323,0.09527759365280938,0.013366604528640469,479,-1.0
"(64,)",90,0.1539748008252857,0.001927947522552552,0.06823743910914518,0.8561081763931196,450,0.6703488587063695
"(64, 32)",79,0.16527221018301172,0.00034583336701382036,0.03971568810193887,0.23944100895955278,253,-1.0
"(64, 32)",150,0.4,0.006246860846910663,0.1,0.5574538532377399,700,0.6461334743754077
"(64,)",127,0.1799691707034657,0.0068671809006300415,0.004322520465499976,0.7796662203020986,242,0.7082135834610076
"(64,)",71,0.04806401348612335,1e-06,0.0001,0.001,700,-1.0
"(64, 32)",150,0.4,0.002588460922521462,0.06871233188644674,0.001,700,0.6627570114944707
"(64,)",64,0.0,0.005232216407286579,0.08287403454995555,0.999,150,0.7395549068610348
"(64,)",145,0.3314994198311262,0.005700341442557493,0.02711405694609064,0.11946437464127338,151,0.6975568205520077
"(64,)",149,0.266526852943298,0.0014215580514872856,0.09006857006746596,0.6397982354323815,661,0.669784196619541
"(64,)",116,0.39004137283610807,0.004769674556111901,0.04921806154454752,0.2059240292160809,694,0.6970166306713893
"(64,)",88,0.32731149964794964,0.0030030499291076535,0.06432758200683696,0.4663108347144286,154,0.6869634246583135
"(64,)",95,0.09956878649640107,0.003850603560645603,0.015283896626670762,0.701750024779654,155,0.7023064313668979
"(64, 32)",73,0.37219438757684453,0.007009963500060585,0.019852288346882054,0.92431034154329,337,0.6925933712437238
"(64, 32)",143,0.2020660994165307,0.0010528981178046057,0.07316242165996535,0.4599918338333892,514,0.6608183387247244
"(64,)",66,0.04137969787888493,0.002252198148674634,0.0788390127678459,0.16435169546576,359,0.6953454930373314
"(64,)",65,0.16645649976307253,0.006547375398606178,0.0377637122151039,0.49780359854382705,151,0.6992290484732187
"(64, 32)",65,0.3355418479168808,0.005976657101741944,0.0018593513596051098,0.3253521214584722,426,0.6989442583582361
"(64, 32)",73,0.38387520466408004,0.005029275132711991,0.0010663362475025909,0.22963766904535043,535,0.6957373683122734
"(64, 32)",66,0.39663745589876753,0.0045239913390203385,0.07146170985939568,0.9851191960523742,418,0.7500523456343006
"(64, 32)",83,0.10673662611815937,0.005406275249716128,0.033062430660952595,0.8155629298918442,685,0.6803020190221925
"(64, 32)",101,0.24240907094862943,0.0012741286075314698,0.02572330033778145,0.3658291301585327,151,-1.0
"(64,)",150,0.0,0.00701,0.07520696842372822,0.999,299,0.7360345829604235
"(64, 32)",150,0.4,0.004482686415266893,0.1,0.001,150,0.6548435414233272
"(64, 32)",69,0.11105571115273333,0.0064890721636292475,0.08335779430219314,0.4830793313253456,535,0.6594905348853966
"(64, 32)",144,0.004833360546108205,0.004152851476886121,0.06179666509522843,0.8289153801506611,268,0.6700881852691776
"(64,)",64,0.0,0.00701,0.1,0.001,150,0.6937681319493955
"(64,)",74,0.4,0.004790345804132002,0.00028337730703208494,0.001,338,0.6910040762518393
