hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,f1_score
"(64, 32)",78,0.2969820884213836,0.003699196710245503,0.08437405895632906,0.9924626862279148,338,0.4793076004775169
"(64, 32)",94,0.09839077314129561,0.004371823470087072,0.07921001724608107,0.8277949303844931,252,0.3943006349598877
"(64, 32)",95,0.2984833547197195,0.0028614787941623893,0.021798247596203,0.9874999347641008,475,0.4021246952281435
"(64,)",80,0.08098489102444398,5.37603506291003e-05,0.04409665615852011,0.596256424334469,231,-1.0
"(64,)",146,0.15389477040552438,0.00035039932565054325,0.02184180018975466,0.0695178170498758,549,-1.0
"(64,)",96,0.3983019931949648,0.0014747962756609756,0.09839501044055719,0.03721164817621429,600,0.41954022988505746
"(64, 32)",64,0.4,0.00701,0.1,0.4082248795516763,150,0.3831993522225008
"(64, 32)",120,0.0,0.005848860296119958,0.1,0.0010000000000000002,700,0.3996865203761756
"(64, 32)",144,0.05755823054520723,1e-06,0.0001,0.05614147214331281,170,0.28509230233368166
"(64,)",66,0.3996121799636194,0.002701060466511006,0.002445262043023965,0.2635471234332485,326,0.4503480278422274
"(64, 32)",92,0.2093179521900036,0.00701,0.0664920564940614,0.2989905476979862,332,0.3876698014629049
"(64, 32)",150,0.3968249125673358,0.004815815676296645,0.09513272124708207,0.828479591835445,191,0.40473702542668055
"(64,)",116,0.3318182138600823,0.0019479594853945227,0.09887677104456041,0.9685210368352754,331,0.42588543059199097
"(64,)",141,0.0002872783259494583,0.0015980475646537892,0.09895638093349785,0.3417927054546138,649,0.4235458028561477
"(64,)",127,0.013036785794527812,0.0017624223973337749,0.05148458075507209,0.9663428329141489,200,0.4033437826541275
"(64,)",65,0.35911739784374086,0.004527315637398182,0.09240294949945282,0.4478344078758788,586,0.41891970184161137
"(64,)",85,0.3547806284198232,0.0059880290261852724,0.08528398259834771,0.7878299337945658,625,0.3919804493450385
"(64, 32)",66,0.2871106320134071,0.001451921422406948,0.08548594612818497,0.07462149938023559,694,0.390282131661442
"(64,)",77,0.2872266852384226,0.00701,0.005858885417631858,0.001,213,0.44756380510440835
"(64,)",143,0.0,0.0036539918318571037,0.09589987212137929,0.001,521,0.43449153222469905
"(64, 32)",147,0.15322038480649286,0.0035339829595095636,0.0001,0.3368290443381703,700,0.43732590529247906
"(64,)",143,0.3445373553461726,0.005253122073935029,0.003139735804775822,0.001,624,0.44547563805104406
"(64, 32)",67,0.34630377299879594,0.005313223506271299,0.1,0.001,150,0.38901945342248867
"(64, 32)",101,0.07049412670817523,0.0021337371840011964,0.06857592140473952,0.001,316,0.4045628700801115
"(64, 32)",149,0.056290622766381804,0.0007235280531137573,0.062204839177464145,0.999,196,-1.0
"(64, 32)",76,0.02237896857291234,0.00614112244163619,0.0001,0.6186253157407263,238,0.4546358933545563
"(64,)",66,0.12725364756095536,0.00439759489935519,0.0001,0.5125737056887705,566,0.4441265217744966
"(64,)",64,0.0,0.0031642069866359133,0.04971648507465226,0.32667703146817484,413,0.4428969359331476
"(64, 32)",93,0.16988029864520712,0.001962377049013448,0.0001,0.3348062672896189,582,0.4325013933120743
"(64,)",150,0.0,0.00653287338260314,0.0001,0.3646393986828486,700,0.40234714519302417
