hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,precision
"(64,)",81,0.3494759093298084,0.0680537329544016,0.0363116894462909,0.1586066350279415,0.22076788830715532
"(64,)",72,0.2369110999012984,0.0819812457788725,0.0342292574971299,0.2711652389386044,0.2198952879581152
"(64,)",104,0.0564782836713555,0.0270022485200943,0.0727748980147051,0.0075202172122738,0.21902268760907506
"(64,)",119,0.0646663994592364,0.0486601333735151,0.0757284667489097,0.3262576155717753,0.2181500872600349
"(64,)",112,0.0413348328678446,0.0386240533605053,0.0686696482566603,0.341835347155185,0.2181500872600349
"(64,)",67,0.27835084075469185,0.07890225770594841,0.0647940614419461,0.54683458425596,0.21553228621291448
"(64, 32)",123,0.11463966659288805,0.025516741260053693,0.03812070967937537,0.08106932481315969,0.21727748691099474
"(64,)",77,0.030942898598378718,0.08879018888229102,0.061078250895645156,0.08543819594418645,0.2198952879581152
"(64, 32)",110,0.22440536521191398,0.07359664003457106,0.02251188171461643,0.23366102715932693,0.2181500872600349
"(64,)",80,0.1659071002326698,0.09018788346171977,0.01324965531045505,0.9271984290393915,0.20702087877421652
"(64,)",72,0.34991860094898736,0.043476581475033124,0.06193851440266329,0.11827329888278044,0.2181500872600349
"(64,)",87,0.030023064709930533,0.036176376695605854,0.035016916217453564,0.49372687304816554,0.21553228621291448
"(64,)",102,0.20275048222631675,0.05132628016741396,0.07748530305309488,0.13345559592186704,0.2181500872600349
"(64,)",107,0.0034478392271551257,0.06262362790107606,0.03808580504329787,0.6459888772249537,0.21235396298658132
"(64, 32)",119,0.1553861429340163,0.07480055461614231,0.043410227888484254,0.9552976744784647,0.20750558152822174
"(64, 32)",135,0.002047348623148127,0.05436886454756977,0.08227117631811759,0.1736686434708888,0.21378708551483422
"(64,)",108,0.31278278804160703,0.06125475372608828,0.0022612800718655,0.179401519128528,0.2120628705505167
"(64,)",121,0.03252435941631072,0.08062000050296787,0.031164962827633536,0.9950679516580898,0.20711768393318686
"(64,)",148,0.16608870475704937,0.03359075077865293,0.04167767252828456,0.49019632168399935,0.21553228621291448
"(64, 32)",121,0.3557143874385633,0.06120590553520085,0.059897160390362754,0.7726620753816179,0.21070556744747135
"(64, 32)",142,0.3336901678951654,0.06182125483994386,0.07330151735768607,0.19762807146034062,0.20871756008563686
"(64, 32)",115,0.3346975711572026,0.09420248535550328,0.008977407177078652,0.18783055394436,0.21553228621291448
"(64, 32)",71,0.15869017669742594,0.061288762388620924,0.058675008502846265,0.905520089468274,0.20828137671829158
"(64,)",93,0.376933184289123,0.06992246450408454,0.08160119733133049,0.9889494373313964,0.20711768393318686
"(64,)",125,0.1908464764888759,0.08230060154348229,0.05671806762357675,0.5516296612924328,0.21553228621291448
"(64,)",109,0.20035748675883652,0.04057818875953885,0.023901520704427696,0.11150290691620353,0.2176870471989461
"(64,)",97,0.359681104338662,0.09251596815247558,0.011436607803701345,0.5492047624764586,0.21274186058161623
"(64,)",120,0.1380491741849906,0.05657425411037027,0.0050212230868926025,0.7837777482854367,0.20992977225740153
"(64, 32)",115,0.3629812632841016,0.04605112959472813,0.006451102252218485,0.5614809685107593,0.21378708551483422
"(64, 32)",92,0.276340675871856,0.03201206889039253,0.06813254460238467,0.540834997681954,0.21116928446771377
