hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,recall
"(64,)",131,0.3858919704407886,0.0575428753155914,0.0077739542757692,0.4721855694873592,0.3379609544468547
"(64,)",126,0.2534395999414098,0.066309347154118,0.0182377267285869,0.5082027945874075,0.33470715835140996
"(64,)",68,0.2335449710805289,0.0630642898474768,0.0208048601413823,0.295245987941369,0.33405639913232105
"(64,)",85,0.1299975940636961,0.0330595734795546,0.0253677795086636,0.5655698489354121,0.33036876355748374
"(64,)",100,0.2058241411797366,0.0324688630184764,0.0268309785306998,0.2838687967330899,0.3318872017353579
"(64, 32)",70,0.23381702012654215,0.06983469582917465,0.0891445349824033,0.059572269505536485,0.2967462039045553
"(64, 32)",75,0.19498251283298887,0.08099899331046947,0.05027618869946389,0.7440142852193646,0.30759219088937095
"(64,)",146,0.09220515478529795,0.06914605926850073,0.09219603482019882,0.44133023543952327,0.29956616052060736
"(64, 32)",96,0.3389580035419645,0.06371755843282814,0.07500450229019828,0.24194488328019859,0.2967462039045553
"(64, 32)",87,0.06563489498171073,0.09023768503151776,0.03792005928535953,0.9774721960788383,0.30021691973969633
"(64, 32)",141,0.3955056733095536,0.09668656271038749,0.00047228890969696095,0.6807892930121853,0.324295010845987
"(64,)",73,0.2727354681382938,0.049524559081045166,0.029435516441362795,0.5741064732966641,0.3275488069414316
"(64,)",71,0.04283343176697422,0.08999357293139072,0.07418442604735108,0.20343085038749797,0.30520607375271147
"(64,)",135,0.2630157987500538,0.09175504170218293,0.07519230894243832,0.7888446697267227,0.3130151843817787
"(64,)",88,0.3668800522255431,0.044531191451937194,0.02256472611466912,0.46090723880139634,0.331236442516269
"(64, 32)",96,0.12435385167950985,0.04739105226990056,0.08318921693294769,0.8681054558749426,0.3169197396963124
"(64, 32)",110,0.2383638699643497,0.035342095508348284,0.04234532353942606,0.22766457123397382,0.30021691973969633
"(64,)",71,0.3309203810235981,0.08002755867408022,0.055144621614070403,0.48064994473309186,0.30759219088937095
"(64,)",131,0.004289301961753501,0.026540914599832047,0.09318667090089096,0.6385992528782306,0.30195227765726684
"(64, 32)",125,0.13636839606912193,0.07974487849521894,0.008947458736536329,0.24811918391955676,0.3442516268980477
"(64,)",91,0.22517885669333354,0.09064449031035994,0.0850462898818276,0.36240510828145767,0.3004338394793926
"(64, 32)",95,0.01132439021019023,0.08807821412959528,0.08854709532809303,0.7053914701997029,0.29978308026030365
"(64, 32)",104,0.0868172765278503,0.09724220462032124,0.058576076386089804,0.9457696939404318,0.3084598698481562
"(64,)",131,0.3913315221084206,0.09081271891229988,0.07405473287142485,0.07250687242377866,0.29978308026030365
"(64, 32)",99,0.2781875898966825,0.041369984632997375,0.012099423365861664,0.3082477188842094,0.32212581344902386
"(64,)",140,0.37539978409382424,0.09694110095125784,0.06966933659157211,0.9463923335341463,0.30824295010845987
"(64, 32)",138,0.15850627644554396,0.09152007667510456,0.05114092398412277,0.8281076624461746,0.31540130151843815
"(64,)",109,0.38043546773788495,0.03317495026464797,0.06999969351675196,0.3814692891881637,0.30260303687635576
"(64,)",123,0.20316236242497993,0.09804628446460427,0.01220237448434468,0.02808563377109015,0.34143167028199567
"(64, 32)",105,0.33275460277909413,0.030335138730057283,0.04362138487672798,0.7257455161950271,0.30433839479392627
