hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,precision
"(64, 32)",131,0.25977270206866887,0.00011289439745830938,0.07222554253098987,0.8808854081742733,197,-1.0
"(64, 32)",71,0.2684084866564923,0.0004287518732044723,0.061085530452609546,0.9318156485713871,695,0.7652705061082025
"(64, 32)",118,0.21874721147983722,0.00023465109149625691,0.07896062400853247,0.0060133269836062896,228,-1.0
"(64, 32)",103,0.3195130306615431,0.0008094223034064876,0.07449181929739426,0.8958007831322495,426,0.7739965095986039
"(64,)",81,0.06051627126882556,0.0009706166921236247,0.014846179996732186,0.09501113137523964,664,0.7225130890052356
"(64, 32)",103,0.4,1e-06,0.06018080239247203,0.999,513,0.3612565445026178
"(64,)",76,0.07988787258731857,0.0006591000905066297,0.004366086427898872,0.02746467668419013,370,0.7469458987783595
"(64, 32)",149,0.25922330341227806,0.00014922490335169474,0.08319987543204331,0.9254091490915372,594,-1.0
"(64,)",90,0.4,0.00101,0.04600254568640125,0.999,150,-1.0
"(64, 32)",77,0.3289796024143135,0.00101,0.08442229115335882,0.999,631,0.6727748691099477
"(64,)",106,0.11711714345161153,0.00011931491754916106,0.022874002076526626,0.49042460867471654,379,-1.0
"(64, 32)",90,0.22245838840123386,0.00101,0.08538939892903663,0.7817390851523915,438,0.7783595113438045
"(64, 32)",64,0.2800938872712596,0.00037483032530052755,0.006207672809306431,0.5996001996409533,681,0.7329842931937173
"(64,)",64,0.0,0.00101,0.031460577460089734,0.001,700,0.7417102966841187
"(64,)",67,0.0661393910611893,0.00101,0.0767186157242273,0.001,700,0.7382198952879582
"(64,)",64,0.0,0.00101,0.0001,0.001,462,0.675392670157068
"(64, 32)",64,0.0,0.00101,0.1,0.001,150,-1.0
"(64, 32)",64,0.4,0.000530168776676246,0.1,0.999,515,0.6727748691099477
"(64,)",150,0.06370409202052929,0.00101,0.04401853239920833,0.001,700,0.7670157068062827
"(64, 32)",150,0.3284302224572117,0.0007013356615373417,0.026272109389687742,0.7177394977027066,560,0.7582897033158813
"(64, 32)",150,0.0,0.0007949235801596054,0.0001,0.7743365194223824,700,0.6701570680628273
"(64, 32)",150,0.14877241323591642,0.0006122160052399777,0.0001,0.1863008486156467,700,-1.0
"(64, 32)",149,0.3904578476753325,0.00101,0.015352019627042043,0.6220909034272055,700,0.74956369982548
"(64,)",150,0.0,0.00022411627927625951,0.0001,0.001,700,-1.0
"(64, 32)",147,0.13560734275906478,0.0006955891934436354,0.06471678843918872,0.999,700,0.6178010471204188
"(64,)",150,0.0,0.0008145564360047831,0.0001,0.001,700,0.6989528795811519
"(64, 32)",70,0.37474572329151895,0.0004903953133239402,0.020969774730413455,0.7147182148684491,700,0.7582897033158813
"(64,)",150,0.12751962394410113,0.0006532373422405967,0.0001,0.47099237433816354,700,0.7678883071553229
"(64,)",150,0.14141330927506476,0.0005459796562663623,0.0001,0.999,700,0.5951134380453752
"(64,)",150,0.010995226198695347,0.0005293616171064774,0.0968775423996297,0.4255228957183026,150,-1.0
