hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,auc
"(64, 32)",88,0.0558304535287355,0.0825780045124577,0.017961878203312,0.1849733447622435,0.5105780370659709
"(64,)",147,0.0491085400693053,0.0559661512638551,0.0189111043417913,0.147252512296976,0.5097295803437343
"(64,)",127,0.2407685285670872,0.05189575188287,0.0183828930974132,0.2784981221814648,0.509417390838554
"(64, 32)",117,0.0406811829715332,0.0640562118481493,0.0303824238600163,0.00309184237688,0.5093658629196184
"(64,)",82,0.1915922535934438,0.0799523845737811,0.0090209136154194,0.1457855974695633,0.5091572269920969
"(64,)",85,0.13308460788087823,0.0613184799332592,0.07180519957759804,0.3458687434261093,0.49876478761206255
"(64, 32)",88,0.15464717082191162,0.087771786122147,0.0792993673186558,0.2290956979077472,0.49584543710086015
"(64,)",71,0.3974128563169069,0.03207974510328307,0.06390812149271753,0.6183088116446287,0.49881566372889585
"(64,)",97,0.13262545718498425,0.06097814935965426,0.011097508009458487,0.17744086924817304,0.5093413551605661
"(64, 32)",139,0.2857604081137768,0.054963737643995134,0.002330456865729643,0.3827375793017558,0.5041699454287578
"(64, 32)",69,0.06503228232258211,0.09744774783352687,0.028376234988396403,0.48161308369396727,0.5027169481819698
"(64,)",125,0.19246854298715121,0.02050652187132128,0.09318832258277357,0.18056097048174954,0.4963221770095414
"(64, 32)",130,0.17066341274054106,0.0820024201805254,0.09313961059472346,0.06944912880824625,0.4958387531665732
"(64, 32)",74,0.18973122142850973,0.06914182596226,0.07439897754300412,0.991329170603943,0.4976116785871395
"(64, 32)",80,0.3371453658259931,0.09258495660340198,0.061294877596113746,0.5896557745527162,0.49595000985998816
"(64,)",135,0.10259382112315135,0.032786546591930296,0.08676328357120947,0.6062566298062717,0.4973797436971921
"(64,)",149,0.2260304638254035,0.04979042681048251,0.007009821842886896,0.7491239635815711,0.5037835571424238
"(64,)",89,0.02604564185038601,0.0857940484604768,0.04834397794428433,0.1917190494396,0.5035809533470867
"(64,)",85,0.06355680077924057,0.09980893688106147,0.026788388964255838,0.8072459444868892,0.5037018093078288
"(64, 32)",137,0.1410193318514889,0.07958744069776402,0.0012282054321637592,0.8944951663266489,0.5005686914089165
"(64,)",101,0.23661845209045304,0.0420381887151049,0.0958958281557103,0.9160904548258808,0.5003206510815649
"(64, 32)",85,0.055576284649016844,0.02814206545568567,0.06997819113086168,0.35959980529349705,0.4966755485566494
"(64,)",105,0.22692309076189063,0.06123610130024974,0.09945263408697412,0.32323538476664704,0.49606157467803347
"(64,)",112,0.0768850060112712,0.05194085213845198,0.0975013072283876,0.20887057432761408,0.49644466840101326
"(64,)",125,0.046029398603399774,0.037134335448699686,0.06734995004781896,0.5220285517469171,0.4999055360989336
"(64, 32)",99,0.3925781021534402,0.0678464333660539,0.09704098137971673,0.4630665621070163,0.4958372362453165
"(64,)",104,0.2989087832782764,0.0367162509604443,0.08771745993410748,0.6123714289105362,0.49699604557589916
"(64,)",139,0.3191517479539445,0.0332943690211098,0.06706519438401969,0.2968650561597072,0.4977295718110524
"(64,)",69,0.3708652178390366,0.07706248566692288,0.038611991684669174,0.49924190788102274,0.5032037376939763
"(64, 32)",67,0.2928439590794167,0.06549586882865445,0.01653076804143313,0.9000656897822663,0.5002743257285014
"(64, 32)",128,0.16638689634783163,0.05890430859958323,0.0004314493973054858,0.07301351515820838,0.5129502648923745
