hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,f1_score
"(64, 32)",102,0.17234892560586026,0.0007162333950536304,0.020270284515860125,0.14797768436079423,382,-1.0
"(64,)",131,0.3338079699059923,0.00013749062427489096,0.09080322657440769,0.8384148108419145,387,-1.0
"(64,)",84,0.23234897688838926,0.0005810514790184929,0.0837326597546831,0.13006795910022015,282,0.4219784047370254
"(64, 32)",99,0.3354185846973392,0.0007784330795080918,0.011163129038369793,0.049736838495991136,407,-1.0
"(64, 32)",103,0.2669388326317592,0.0008108472431767057,0.03285913892993349,0.03932027106916132,233,-1.0
"(64,)",64,0.0011968373317466701,0.0009879479352514157,0.003281341179897944,0.5953994184909176,440,0.45359628770301624
"(64, 32)",150,0.08204265302843561,0.0004077137000472528,0.04461854643148557,0.9046079691869104,630,0.42618384401114207
"(64, 32)",64,0.05571300914894121,0.00028387961348788144,0.035601182981110605,0.7587607574791913,684,0.3986967525052243
"(64,)",64,0.0,0.00101,0.0001,0.144808012199516,700,0.46968044590403685
"(64,)",64,0.0,0.00101,0.0001,0.39407444276146336,700,0.4647331786542923
"(64,)",93,0.4,0.0007456724469323188,0.007152026695722721,0.001,688,0.4480278422273782
"(64, 32)",150,0.4,4.353603665056621e-05,0.0761291951819723,0.999,320,-1.0
"(64,)",93,0.10664928247139,0.0004198961429389996,0.015435593640742519,0.001,452,0.4526070004422479
"(64, 32)",135,0.0,0.0005692041243783879,0.011445453678452412,0.001,700,0.4393155590927179
"(64,)",85,0.11215789521577212,0.0007021201734613631,0.06503037679109806,0.41622679419929315,211,-1.0
"(64,)",120,0.33249927679656643,0.0007538342429473721,0.019490456517941762,0.1423049237606614,595,0.4446876243533625
"(64,)",64,0.14948662485944594,0.0005797019477595875,0.09910739437783303,0.001,373,0.4218042493904563
"(64, 32)",150,0.02575628519244429,0.0009546463675800557,0.06272887218249366,0.999,520,0.4478710704337445
"(64,)",107,0.18464197859661843,0.0006739695548351187,0.0001,0.001,557,0.45359628770301624
"(64,)",118,0.08171973227626274,1e-06,0.0001,0.001,689,-1.0
"(64,)",80,0.4,0.00048568005197028853,0.1,0.11044904526391522,253,-1.0
"(64,)",83,0.3157953278776211,0.0007216644009211338,0.018233910356952054,0.17695372318488575,306,-1.0
"(64,)",140,0.14616635737488554,0.0006960127245599164,0.09259169229497162,0.26367944849275443,700,0.421455938697318
"(64,)",80,0.29943212334177066,0.000357430297648676,0.0007946128310564986,0.3521546434301941,518,-1.0
"(64,)",111,0.2778173090484796,0.0006507598443237998,0.0580658527827049,0.30603834632232313,655,0.42511320097526994
"(64,)",81,0.0,0.00047300004559026464,0.057819317158813964,0.12796871708539692,488,0.4428969359331476
"(64,)",87,0.263953725906536,0.0008195344555122038,0.014913556514988225,0.001,700,0.4531322505800464
"(64,)",147,0.07515778545652371,0.00048625388492238214,0.04839493108127936,0.2586704252616241,244,-1.0
"(64,)",86,0.06719851390560976,0.0009163188923140287,0.09636943732883001,0.001,565,0.429441997398966
"(64,)",150,0.0,0.000452069529525972,0.009464107562863554,0.5277421780778434,609,-1.0
