hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,auc
"(64,)",99,0.3159371215539475,0.000627291497056813,0.08436450451620477,0.37331297770232796,189,-1.0
"(64,)",99,0.034558151938668145,0.0009390991682737067,0.09204052105683087,0.15532538409432103,556,0.6915065445671466
"(64,)",95,0.3805024558778189,0.0008631610055957279,0.033268953431728476,0.11106085498492256,504,0.6941906893269421
"(64, 32)",96,0.24268186594116445,0.0009292886205431972,0.03096541333285414,0.20055565083373594,191,-1.0
"(64,)",104,0.24227808930923087,0.00019588738761854076,0.08109172791251881,0.587853806829476,350,-1.0
"(64, 32)",94,0.29815725527698056,0.0003036557154873106,0.0016000306547080548,0.1515363699809419,700,-1.0
"(64, 32)",146,0.2972603269590572,0.0009857955142897436,0.07231161091193103,0.999,593,0.7373502632806456
"(64, 32)",142,0.28362242416274275,0.00012244847748136273,0.028386254572246913,0.8337546873248463,453,0.6748116765961805
"(64, 32)",91,0.040922983342617084,0.0008072178024191009,0.08492875582013454,0.6413395106989662,484,0.6599644424176692
"(64, 32)",150,0.0,1e-06,0.09247251826255144,0.999,532,0.4970301289003838
"(64,)",113,0.0,0.00021113600412338035,0.04541835237953346,0.001,623,-1.0
"(64, 32)",85,0.022088944859007007,0.0008971725266043657,0.03356523021970468,0.21363971681492,542,0.6911683422326047
"(64, 32)",150,0.0,0.00101,0.1,0.999,700,0.7285286432656282
"(64,)",149,0.4,0.0003712523099151969,0.05198591215745993,0.36423055286932743,498,-1.0
"(64, 32)",150,0.4,1e-06,0.0001,0.999,448,0.46958002849915814
"(64, 32)",110,0.0974638952555584,0.0008788117158056232,0.07226176917400413,0.22113767970309717,229,-1.0
"(64, 32)",150,0.26634987629286394,0.0004590522169350717,0.0001,0.9599062348105292,563,0.7244409197093579
"(64, 32)",114,0.24747940488237902,0.0009515028223344536,0.07407777169573909,0.7161194856875754,649,0.6666610572182697
"(64, 32)",75,0.1755833911307748,0.0007126831403481181,0.039591674727861584,0.999,390,0.704733623886959
"(64,)",64,0.2061561530180176,0.000717798710120651,0.0887860816231376,0.924662250846276,700,0.6901792384676062
"(64, 32)",71,0.32858891131113954,0.00101,0.0038034268113453203,0.8245511599753121,409,0.6871843618691503
"(64, 32)",146,0.0368190457852601,0.00101,0.08258126583659019,0.999,150,-1.0
"(64,)",64,0.4,0.00101,0.0001,0.999,598,0.6378376927438071
"(64, 32)",150,0.0,0.0007480403735583652,0.1,0.8676272759989428,493,0.6943774484057157
"(64,)",129,0.33831898083433093,0.00101,0.0001,0.10265444944460969,488,-1.0
"(64,)",85,0.1905997130738568,0.00101,0.1,0.5469452449118091,553,0.671367838709555
"(64, 32)",64,0.04345646461087566,0.0006556561484865612,0.1,0.4753545143514051,473,0.6549864401460797
"(64,)",64,0.2675223319460191,0.0007557256853120766,0.0001,0.999,452,0.6479797690108157
"(64, 32)",64,0.05848998103073513,1e-06,0.06413231475895904,0.999,150,-1.0
"(64,)",90,0.4,0.0008548185577099739,0.0001,0.0822953018732929,700,0.6980228353533668
