hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,auc
"(64,)",75,0.11653876248303752,0.003694578102655256,0.07913828305098088,0.36661989386894384,310,0.6899857480507563
"(64, 32)",131,0.04386424333209102,0.0035913068382742424,0.011684754923937524,0.24546900277180636,669,0.6962541999757292
"(64, 32)",143,0.14743384538565782,0.0014987290218178078,0.05647052747089129,0.6373696102456696,436,0.6666026676008374
"(64, 32)",149,0.2732086708968553,0.0027539399693442134,0.024018890842311093,0.7159091328931273,619,0.6817074347155014
"(64,)",79,0.011466287594424033,0.005196218444080668,0.031903087000996255,0.21867800222900632,268,0.706004483924427
"(64,)",97,0.3884246122742131,0.006939283181716263,0.029047945602856,0.015696480371814252,427,0.702220879378214
"(64, 32)",80,0.25067461426432724,0.004354903188955039,0.07220747402444347,0.2760864926518334,191,-1.0
"(64,)",150,0.0,0.0001857038276244071,0.0001,0.9440785141395516,150,-1.0
"(64, 32)",114,0.23850409956661314,0.004574155798400864,0.0027278057363561954,0.8557309834602062,150,-1.0
"(64,)",64,0.4,0.00701,0.07269815398196391,0.001,541,0.6944764393686573
"(64, 32)",141,0.04103656471981787,0.00020405173184071253,0.02020954140077439,0.15819183721212202,371,-1.0
"(64,)",90,0.04832804796363846,0.005588573415518913,0.07099649814816346,0.88247240430206,454,0.6676329178549216
"(64, 32)",140,0.222436067076637,0.002087040376022299,0.0921076431798686,0.5401173194678308,538,0.654264326373193
"(64, 32)",81,0.16688646178459615,0.006295844254613735,0.08640249051715815,0.6180105508788263,650,0.6643847035556634
"(64,)",64,0.06077199271429565,0.0031148775763478317,0.1,0.2066486071099581,150,0.688290102657646
"(64,)",94,0.17926562797763312,0.0011141030421638579,0.09538961590502405,0.8118365030902125,217,0.6642071171101134
"(64,)",64,0.0,0.0024115629437163116,0.08401906376951858,0.001,150,0.696529841159383
"(64,)",150,0.2291979804953866,0.005961903717177578,0.039615804128401974,0.001,183,0.6979743531278917
"(64, 32)",147,0.3368357794206874,0.0066013222707799685,0.09731598292727645,0.6576471601002615,266,0.6559417924131183
"(64,)",64,0.3854938944185675,0.0012461213358314312,0.09925919527475618,0.9437722669386505,150,0.7177402518847746
"(64,)",70,0.3981895978037181,0.001793850803735382,0.04079100632655984,0.9753281328613048,157,0.7173583669584211
"(64,)",70,0.25948956916054505,0.0007802206206877684,0.015564666440767795,0.6612014377675648,393,0.6993748151252218
"(64, 32)",135,0.4,0.005364823867944174,0.07450092600841944,0.28317041741087967,208,-1.0
"(64,)",150,0.4,1e-06,0.1,0.999,150,-1.0
"(64,)",150,0.0,0.00701,0.0001,0.001,150,-1.0
"(64,)",64,0.28223639572015685,0.0013490550633116333,0.0001,0.001,700,0.6972217468675577
"(64,)",64,0.0,0.00434794260093333,0.07646989812299712,0.999,150,0.7287744082110947
"(64,)",150,0.1439680287798592,0.004327739783696455,0.04893861834189189,0.84961527697987,206,0.6713333406019144
"(64,)",64,0.0,0.00701,0.007739550665778094,0.999,188,0.630397454700939
"(64, 32)",143,0.22382424831215728,0.0032569719957426754,0.002293067377580486,0.7331376043571194,475,0.7010878814108885
