hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,auc
"(64,)",66,0.32472421993883804,0.005612761288653673,0.08626021357375158,0.5821736342549494,438,0.6783678733143212
"(64,)",81,0.26963802233802786,0.008232051055351436,0.0520553448648722,0.6068010561468155,612,0.693982183759841
"(64, 32)",139,0.09888603551685138,0.0020798130484037994,0.00040547616731765874,0.33724075010295107,231,-1.0
"(64,)",105,0.14766134561334077,0.01111000255682314,0.013887667746149496,0.85678519117913,664,0.7000598235820579
"(64, 32)",132,0.23380249708171452,0.009302497226011034,0.06257899919447761,0.3112622899494504,323,-1.0
"(64,)",118,0.12298921147327267,0.015268417725821994,0.005481830612717307,0.02101973991017748,160,0.7095505125297696
"(64,)",146,0.3965287624508156,0.001532557227511857,0.09455740226898803,0.0560595226999129,181,-1.0
"(64,)",66,0.0,0.018009999999999998,0.0001,0.5899865763111802,492,0.7210942003359981
"(64,)",97,0.4,0.018009999999999998,0.1,0.999,700,0.7421541040304597
"(64, 32)",64,0.393514746257857,0.00099,0.04067871197476812,0.8083094344464168,700,0.6870703557559577
"(64, 32)",89,0.0,0.00099,0.0001,0.001,150,-1.0
"(64,)",64,0.4,0.00099,0.0001,0.999,700,0.6965369517277733
"(64,)",64,0.0,0.00805011882222632,0.1,0.999,150,0.7410612570726454
"(64,)",94,0.0,0.018009999999999998,0.00994119823597959,0.001,150,0.7182990714545758
"(64, 32)",106,0.3128871142883175,0.007366317486066996,0.08283467769073692,0.999,323,0.7513990398836522
"(64, 32)",150,0.4,0.018009999999999998,0.0906069440019988,0.7378087677779888,150,0.6555155375400088
"(64,)",150,0.4,0.00099,0.0001,0.6664805333719599,150,-1.0
"(64,)",116,0.0636137795024851,0.018009999999999998,0.05829354601954803,0.3737259041422002,677,0.6985332793562187
"(64, 32)",79,0.3615128061139528,0.010222675990227276,0.0111238714887932,0.7737876325577935,329,0.6967498776982237
"(64, 32)",111,0.4,0.00099,0.1,0.999,644,0.7514016944958513
"(64,)",142,0.016792744862813506,0.017195887456661847,0.1,0.9553720342700047,664,0.7074135141566675
"(64,)",141,0.33181332454637497,0.018009999999999998,0.1,0.999,700,0.7418398287585516
"(64, 32)",64,0.4,0.017522693299806748,0.0001,0.999,455,0.7114879765028899
"(64,)",139,0.3102949630013633,0.018009999999999998,0.0001,0.001,150,0.6955795966506378
"(64,)",137,0.21940634665480832,0.00913657254806676,0.1,0.902868379854637,291,0.6860643406891374
"(64, 32)",105,0.0,0.009053607442435895,0.1,0.9539082184620099,150,0.7318926531711238
"(64,)",64,0.4,0.018009999999999998,0.049594343582692345,0.2363247090594066,700,0.6993968460362847
"(64,)",64,0.0,0.01754292030547243,0.1,0.999,150,0.7412847185352609
"(64,)",64,0.0,0.0054447835986944255,0.1,0.8120618314756965,700,0.6653582114739924
"(64,)",64,0.0,0.012531837761179204,0.1,0.5725783760623842,150,0.6746384750011377
