hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,f1_score
"(64, 32)",149,0.1032969008261739,0.056157535752566,0.0088859876814451,0.1359414835776925,0.43454038997214484
"(64, 32)",65,0.2241698125571007,0.0733823896269737,0.0027136516695662,0.0072757212250373,0.41344479275513757
"(64, 32)",68,0.0186433168255719,0.0497105453168766,0.0142909777439261,0.391085701204784,0.40891675374433994
"(64, 32)",107,0.2679972369468102,0.0373446378423436,0.000269537425082,0.1917850422801236,0.406478578892372
"(64,)",150,0.1083311460599763,0.0216449425300441,0.0236532584189088,0.7212962997669962,0.3787878787878788
"(64,)",64,0.22328024810165312,0.09623253468029584,0.01133802931010004,0.3515077341100215,0.41747780922692074
"(64,)",105,0.16301531308277736,0.020367084692809775,0.08082627803759185,0.5916190221538815,0.27150818530128873
"(64,)",72,0.04023770280540463,0.09280432448257386,0.05325187201912029,0.055392414047840954,0.33333333333333337
"(64, 32)",67,0.2583052507448242,0.08564542406094151,0.09999220907240323,0.22386065730131569,0.2500870776732846
"(64,)",64,0.002314427448107726,0.04649453827531513,0.03784738029403476,0.11392925034735327,0.37913618948101707
"(64, 32)",142,0.33218035819695946,0.06420034113203739,0.09932853481812355,0.9928229321622534,0.31208638105189834
"(64, 32)",144,0.0202122557560057,0.09545336336669802,0.0004254881529024568,0.9952166965279649,0.25339602925809823
"(64, 32)",146,0.25861404389271314,0.06272335897279045,0.052522490094407064,0.9987028705983415,0.27551375827237895
"(64, 32)",139,0.20179921111516827,0.03545124297354198,0.0792198722022489,0.0025542325329996887,0.2507836990595611
"(64, 32)",132,0.13421892701715124,0.024306202626668914,0.0482878698275736,0.5296528830889358,0.27203065134099613
"(64,)",116,0.32390470522982234,0.09675019153215808,0.07385786225811783,0.9986886093673736,0.27324973876698017
"(64, 32)",92,0.02717897337315352,0.046863429261595965,0.0315132973221487,0.994895097163218,0.2756879136189481
"(64,)",79,0.0015707547583862173,0.03796659716708625,0.09808735578539153,0.009948834880669315,0.2608847091605712
"(64, 32)",71,0.2660664777997836,0.030329676914239503,0.03740322027461909,0.004393969907004221,0.2598397770811564
"(64,)",111,0.37710309619840554,0.0724189927039774,0.0029909126597587442,0.938667646199736,0.2986764193660746
"(64, 32)",69,0.01113274763858501,0.09435231140086292,0.09892980982272415,0.9941376760168019,0.2833507488679903
"(64,)",137,0.017982584178540286,0.07076118760621915,0.0012016445258511475,0.014447508544555895,0.28247997213514453
"(64,)",129,0.3875825198862627,0.07842948055232593,0.09979796354313948,0.9823688579053128,0.28944618599791017
"(64,)",150,0.37837238994518896,0.05032769590934619,0.046187043176137935,0.9852651875443937,0.27533960292580983
"(64, 32)",106,0.3790552184850168,0.0711711093977944,0.07602328881736499,0.660946499392606,0.2514803204458377
"(64,)",122,0.39869111466504653,0.09582985669961919,0.04645547918916785,0.477562931950544,0.31957506095437127
"(64,)",65,0.3665824943921174,0.03883176887624312,0.023061657718384393,0.02854029928610749,0.39602925809822365
"(64,)",70,0.36089214067500536,0.0959493067386767,0.0710889405100164,0.014630058352225236,0.26332288401253917
"(64, 32)",149,0.3990226452258012,0.0906690511562793,0.05907459576662154,0.014792207683180975,0.2500870776732846
"(64, 32)",64,0.39220440443215304,0.08096940016943753,0.023918779989011915,0.5990959351889853,0.28509230233368166
