hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,recall
"(64, 32)",123,0.27986429736768575,0.015801344165784048,0.05884794434428653,0.9227923757955584,160,0.4616052060737527
"(64, 32)",130,0.25818226216564955,0.01706754500330912,0.09128352899167604,0.19263156834670386,641,0.48134490238611716
"(64, 32)",86,0.327313175160221,0.008441321848238637,0.06319504724344698,0.1267597441017478,546,0.48763557483731024
"(64, 32)",126,0.17001920935302436,0.005057095755372932,0.05002912365728056,0.48532643806433323,245,0.486767895878525
"(64, 32)",115,0.07112474814309235,0.005378605995356134,0.03413417568179129,0.45467606619267814,556,0.524295010845987
"(64,)",89,0.022036549239132924,0.00391565583936851,0.06507778852694951,0.3175716181922206,332,0.531236442516269
"(64,)",133,0.0027204402176808536,0.011560760599559407,0.08701398802841998,0.9885375035425477,688,0.3533622559652928
"(64,)",70,0.007721170500139964,0.010299359623882174,0.011984464997372095,0.0036357598729794007,388,0.5253796095444685
"(64, 32)",143,0.39976923586857444,0.008492530533494374,0.09879494263893733,0.5776428345943735,167,0.46225596529284163
"(64,)",69,0.3920614909916097,0.006621581541522665,0.0313965285860917,0.7796526687625626,150,0.4837310195227766
"(64,)",130,0.3996359720464778,0.007885403432944941,0.045783908632720326,0.486628392798521,482,0.5258134490238611
"(64, 32)",118,0.03615758133114469,0.0010381804816997579,0.07352434998306003,0.0018552318814917784,152,-1.0
"(64,)",64,0.0,0.018009999999999998,0.0001,0.999,150,0.29956616052060736
"(64, 32)",134,0.3982413840104164,0.013593097590417758,0.07190884359446174,0.7247868366450109,457,0.46963123644251625
"(64,)",80,0.001990521266197032,0.014109546914057323,0.09398543329498503,0.19750106759129707,547,0.5303687635574837
"(64, 32)",115,0.3754784472812658,0.003097496351283289,0.033857201565498055,0.5882430901269834,696,0.48958785249457704
"(64,)",144,0.31047934087473655,0.014942448912410384,0.010602425290209648,0.8043589546266925,698,0.49219088937093275
"(64,)",123,0.3769820920169292,0.009460171045235386,0.07372567346402846,0.9880987197515435,688,0.3544468546637744
"(64,)",82,0.18288230394999833,0.012568951836597264,0.09958464038922975,0.04765381342774599,378,0.5314533622559653
"(64, 32)",81,0.10674459318927727,0.004272653303986271,0.08031875028761211,0.9529158731446171,672,0.4524945770065076
"(64,)",150,0.4,0.018009999999999998,0.1,0.001,150,0.5245119305856834
"(64,)",150,0.4,0.018009999999999998,0.1,0.001,700,0.5286334056399132
"(64,)",64,0.4,0.00099,0.007515756064970582,0.4031216616225626,700,0.5364425162689804
"(64,)",85,0.3292114670044153,0.002368722979930042,0.09554198206021203,0.9330873174904851,413,0.41366594360086767
"(64,)",146,0.07325972736669448,0.005435123326395364,0.1,0.001,400,0.5286334056399132
"(64,)",92,0.3528577943823631,0.013151594051932584,0.029642984147907513,0.38191632507371587,150,0.5303687635574837
"(64, 32)",127,0.2326078370038272,0.014423303092533485,0.08657670705025478,0.001,700,0.48329718004338396
"(64, 32)",124,0.17228722228835566,0.016417675449205086,0.07877272490000899,0.9978931907751575,391,0.35726681127982646
"(64,)",99,0.010486094017499961,0.01785973746611866,0.02571786273225369,0.6625300878489268,305,0.5184381778741866
"(64, 32)",79,0.009944419781649397,0.002674859264101893,0.08784878459094358,0.717162177442132,280,0.4718004338394794
