hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,f1_score
"(64,)",125,0.15486220813271623,0.006215267674460656,0.027747627071082418,0.7910335904941496,269,0.4263828093911659
"(64,)",100,0.18626863222911663,0.0008847150459772329,0.07951230268433811,0.028377479922323225,496,0.42717867091126144
"(64, 32)",72,0.048537503409284324,0.002813537196158298,0.029198281780972512,0.9432436084176341,442,0.42066125530730275
"(64, 32)",91,0.032437768407771336,0.0007926177981248718,0.04317531419611633,0.23008208187907322,204,-1.0
"(64,)",68,0.39693519786047243,0.0028430566377562446,0.0325983866134261,0.7681544201175707,568,0.424592120970951
"(64,)",150,0.0,0.00701,0.0001,0.34199090295408374,150,-1.0
"(64, 32)",150,0.0,0.00701,0.1,0.6049749078069011,150,0.381574364332985
"(64,)",150,0.3397961925961046,0.005580160529419688,0.03145278539560319,0.999,501,0.3737373737373737
"(64, 32)",76,0.3499254128885068,0.000962305342402536,0.010881283497863253,0.001,693,-1.0
"(64,)",70,0.38318180727272194,0.0028461800330380938,0.08882753577260998,0.999,246,0.4171020550330895
"(64,)",64,0.4,0.00701,0.1,0.001,700,0.42518901711102264
"(64,)",150,0.0,0.00701,0.0691142340912991,0.8192243196229251,150,0.3982234214200404
"(64,)",82,0.2955624261571978,1e-06,0.1,0.2730329537040664,150,-1.0
"(64, 32)",64,0.01825535963027735,0.00412153753499649,0.08899904450998382,0.7760758820530993,150,0.3965820783129399
"(64, 32)",129,0.0,1e-06,0.0001,0.6713492953727487,628,0.28613723441309646
"(64, 32)",64,0.0,1e-06,0.0001,0.999,700,0.34766729551092246
"(64, 32)",64,0.13679773752931454,0.0027980359985441587,0.07194814763742313,0.8600730440192023,150,0.4174293672900915
"(64, 32)",64,0.22743349006953092,0.00701,0.06886198528091898,0.8344022301390548,401,0.4097410289899004
"(64, 32)",73,0.24925147104970127,0.0017393682752654253,0.05513260685333516,0.6009803842901882,578,0.38993382096830376
"(64, 32)",129,0.36719877304119763,0.0006971586430844441,0.0001,0.8512338523900553,359,0.4194416827689328
"(64,)",67,0.3724173886907892,0.006650286503694142,0.1,0.9046710079984654,381,0.41496423404981664
"(64, 32)",142,0.14650388798852318,0.0008086215514688422,0.09980670754392972,0.08114007964354344,172,-1.0
"(64, 32)",150,0.35106988747525586,0.004254617773881763,0.002825985076690748,0.4739878827959423,325,-1.0
"(64,)",150,0.0,0.004416738408253097,0.05272663635855278,0.6007717324528297,150,0.42563566701497735
"(64,)",64,0.2733488753877011,0.002898982424419917,0.08295791746317864,0.5174989066374355,362,0.4196179864703542
"(64,)",67,0.3418286026570351,0.005604880244174876,0.0014593829862689454,0.11841098402412108,536,0.45150812064965196
"(64,)",149,0.1400185367195134,0.00044262267700612666,0.008434538043583314,0.6787400495207921,364,-1.0
"(64,)",150,0.13772778251701742,0.004031943083300264,0.02661462631690557,0.5618959386698285,275,0.44230003979307597
"(64,)",144,0.23478331827577548,0.0009663113655017983,0.08263721067612753,0.4569736532945656,427,0.41543971348985276
"(64,)",64,0.2856507930509549,1e-06,0.1,0.9543591778553806,150,-1.0
