hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,precision
"(64, 32)",105,0.2273237525874195,0.0820237100974565,0.0256576462004147,0.1052675041836626,0.2585712855731526
"(64,)",126,0.1211777334312535,0.0494424295209329,0.0491577823294299,0.2618604031436525,0.25850903808166026
"(64,)",134,0.0396303931835698,0.0714481669621496,0.04917107197563,0.3403540686111472,0.2549564135037624
"(64, 32)",138,0.0370618503682173,0.031851655618862,0.0278423970717101,0.2974707330279594,0.25620286108463575
"(64,)",79,0.2431997622979002,0.0393784782959576,0.056146331972018,0.3040977689141838,0.2567016142018427
"(64, 32)",70,0.22416313903525317,0.06173925085665079,0.06501598663042144,0.2056060458987951,0.2428002009214768
"(64,)",74,0.09153894758349218,0.061809732625806066,0.03932195119912335,0.11869504064050275,0.26316313226292554
"(64,)",98,0.0695696898941074,0.07967606392585093,0.045585868062994084,0.1708774558829306,0.2609075043630017
"(64,)",116,0.2948454329535523,0.0571272665305706,0.04836829478629341,0.24991601794024582,0.25533026073559556
"(64,)",145,0.2577064425006758,0.05124094071929029,0.0991082398660256,0.9605911982912292,0.2306445927067149
"(64,)",118,0.13199005014549223,0.03280967722311802,0.02163374924802523,0.2999106211391097,0.24971994098523326
"(64, 32)",135,0.16433428001158826,0.04409583257489097,0.0987676014030629,0.9973274400780234,0.23114334582392188
"(64,)",114,0.37506535642926764,0.039666852089463904,0.012103086184561074,0.6094006512325397,0.2461041984915547
"(64,)",144,0.031797377001836456,0.03409238496619135,0.022819448084358096,0.1371219415380407,0.2489718113094228
"(64,)",80,0.3623025811213635,0.07909572037961451,0.0032510904813250526,0.050379014570530026,0.2434863974444343
"(64,)",101,0.012470551589413417,0.04490908182123375,0.03602454572866723,0.9091308567162152,0.2322653227315655
"(64,)",139,0.1991147988542047,0.07188338773976961,0.029379947456571714,0.03174962684809767,0.2630663271039552
"(64, 32)",79,0.28595514852633935,0.05901127608494157,0.06037818909158595,0.9598357754692741,0.23139272238252534
"(64,)",78,0.19796837924059565,0.03903862950525834,0.039211328617104114,0.7222374950670164,0.24124200841700288
"(64,)",137,0.3655821377526544,0.03075304564091499,0.07751359258893714,0.39082821332016454,0.25258755380310133
"(64, 32)",113,0.10003313703558712,0.059476253557701766,0.048037035998364085,0.9508659180860616,0.23139272238252534
"(64,)",122,0.07034689994807258,0.048058504342324865,0.04577842787549688,0.08142019173737859,0.262652705061082
"(64, 32)",144,0.060627890541202246,0.02772187774243598,0.05167131394725587,0.538462018487182,0.2452311629303704
"(64,)",88,0.3009007855228968,0.08301335615858914,0.04850702658963084,0.6155808406599794,0.2490967171947966
"(64,)",76,0.37622673566696596,0.05739661611189212,0.08367410247481187,0.16130809915055352,0.2504606707040511
"(64,)",72,0.2633030430724215,0.07346526478523387,0.06526610987786281,0.7390847741399348,0.24049387874119238
"(64, 32)",124,0.31175991496037647,0.09910794125532245,0.09373706710739836,0.35604783206070656,0.23814610674021153
"(64, 32)",91,0.08797112601221742,0.024878370372230157,0.08796349043007418,0.5869390367247413,0.24722617539919833
"(64, 32)",88,0.07743681392626563,0.04379795796172216,0.08466654452654447,0.7549375654963846,0.23725241869149116
"(64,)",94,0.027281756746737346,0.09997637907644859,0.059145807069529426,0.2826373100232749,0.2557041079674287
