hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,recall
"(64, 32)",101,0.1433018137719101,0.0019557097184261896,0.017418500761675143,0.8725005182119375,424,0.5214750542299349
"(64, 32)",129,0.09391390848377704,0.005317859537391505,0.03588804034960605,0.5925350823831622,459,0.49956616052060737
"(64, 32)",144,0.05186473930299488,0.006286351772930486,0.02481860888412952,0.9773685380205697,500,0.5568329718004339
"(64,)",105,0.14141382832337868,0.0025679978231683484,0.013573687323089311,0.950525409587431,314,0.5110629067245119
"(64,)",143,0.261363366092754,0.003181668810279552,0.058423347490267064,0.19938358178399865,189,0.5295010845986985
"(64,)",99,0.04234315326215189,0.004712727126951581,0.014374637200806246,0.7221068344206725,656,0.5420824295010847
"(64, 32)",78,0.3124140525185407,0.003825016083935002,0.0776225777413806,0.8157108007109741,633,0.5075921908893709
"(64, 32)",77,0.2125013632187304,0.004184050625545749,0.06468804795921293,0.6470978158759679,299,0.4817787418655098
"(64, 32)",141,0.3259016373914743,0.0005811781689363292,0.03892181797840091,0.001218570020043289,286,-1.0
"(64,)",64,0.0,0.00701,0.0001,0.001,700,0.4459869848156182
"(64,)",65,0.2811420242866036,0.0011808690806193796,0.0814935553602547,0.4266145617512879,679,0.5197396963123644
"(64,)",150,0.29149309051212385,0.005929834578780966,0.09820882299021759,0.5306335244365774,358,0.5056399132321041
"(64, 32)",65,0.21415104909515087,0.0030183229610531923,0.08497329465421484,0.38489910894195634,512,0.4809110629067245
"(64, 32)",145,0.03569736866788152,0.005602075003510909,0.02197609107729711,0.2241681398003319,692,0.5338394793926247
"(64, 32)",98,0.0,0.00701,0.1,0.999,150,0.5882863340563991
"(64,)",64,0.0,0.00701,0.0001,0.2574100051540108,700,0.46420824295010843
"(64,)",150,0.0,1e-06,0.0726501830679574,0.999,150,-1.0
"(64, 32)",150,0.030190747473439403,0.004275362568363335,0.05331204838033948,0.999,700,0.5626898047722342
"(64, 32)",64,0.0738414057115863,0.005791097115986637,0.007929026674388804,0.999,700,0.4937093275488069
"(64, 32)",150,0.3568024645497126,0.00701,0.0001,0.001,700,0.5297180043383948
"(64,)",64,0.2868206832195374,0.0019720507060563795,0.01724966970241485,0.999,700,0.4984815618221258
"(64, 32)",83,0.11983023454956816,1e-06,0.04461260695252372,0.8909081322528168,639,0.3720173535791757
"(64,)",122,0.09954482278613558,0.00701,0.04225640861924992,0.20990110410206878,442,0.5399132321041215
"(64, 32)",125,0.10356406487921957,0.0037734469703367655,0.04425788944483336,0.17902120540538413,344,0.5273318872017354
"(64, 32)",64,0.2509410891188383,1.0000000000000002e-06,0.022068682930670012,0.6215509352733223,691,0.3731019522776573
"(64,)",83,0.10540529986204572,0.002043095728187337,0.08467752215040716,0.11609588878460281,359,0.53058568329718
"(64,)",86,0.2915969280419098,0.006062335110893221,0.014454009570437852,0.3419379873907265,658,0.5422993492407808
"(64, 32)",107,0.06776089509995914,0.005997551371202752,0.011090189796004882,0.8478429407302283,333,0.5405639913232104
"(64, 32)",106,0.022953414345530117,2.4708024148951025e-05,0.0745572321567797,0.48354255313145755,447,-1.0
"(64, 32)",150,0.0,0.005320418658686227,0.0001,0.001,150,-1.0
