hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,recall
"(64, 32)",145,0.17742625955498892,0.0003709050628984616,0.09711539776858245,0.26453227698446324,652,0.4765726681127983
"(64, 32)",128,0.3133201515986175,0.0004618654510362124,0.008015148342327782,0.008882143440711757,532,-1.0
"(64,)",133,0.3673334692931123,0.0008079376728856492,0.021684111464933126,0.8481047372490541,669,0.5097613882863341
"(64, 32)",117,0.02968042342775586,0.0002503453108401499,0.015660292750269294,0.013200666571519463,541,-1.0
"(64,)",137,0.02430616754632649,0.00024111207146961138,0.05538215794419294,0.7846680674409657,413,-1.0
"(64, 32)",68,0.15443955759057215,0.0006189479297671205,0.008847249853607509,0.8705005878534311,150,0.502819956616052
"(64, 32)",145,0.2635284175894525,0.0006783870464282093,0.06456974034536603,0.3121445402602278,515,0.4806941431670282
"(64,)",74,0.01958395726106975,0.0006847572177329764,0.08088860248161907,0.37990995264454114,240,0.5292841648590021
"(64, 32)",111,0.3449276733732105,0.0006231915713819016,0.030087112432654276,0.4437953689813129,670,0.4982646420824295
"(64,)",100,0.14691887303971238,0.0003016916549321875,0.08103623663657272,0.5197890111110938,291,-1.0
"(64,)",73,0.08892163122142398,0.0007465567829630908,0.0867058282101081,0.035434135050505765,352,0.5331887201735358
"(64,)",85,0.09603208944743771,0.0008831189514610406,0.06329589525560868,0.3270995335163236,175,-1.0
"(64, 32)",83,0.23251817234546202,1e-06,0.00987187440519806,0.2603313489139278,655,-1.0
"(64, 32)",141,0.27209479288041954,0.00101,0.0820900994319393,0.7647721879206699,478,0.49522776572668115
"(64, 32)",68,0.3862125922567515,0.0007797907426012168,0.06124780009649011,0.9478452019236853,591,0.5822125813449024
"(64, 32)",79,0.39367900364188985,0.00011569694942542182,0.0020450033674989715,0.13031927157692025,651,-1.0
"(64,)",130,0.3314038815977174,0.0008948136553197355,0.028193210611062794,0.9217825724595756,700,0.506941431670282
"(64,)",150,0.0,0.000609923000641335,0.1,0.7440986669890705,700,0.48134490238611716
"(64, 32)",108,0.1991671182845579,0.0006154937918056392,0.03496341944007671,0.5287573961172493,651,0.4986984815618221
"(64, 32)",64,0.15423789498795648,0.00101,0.1,0.001,670,0.47592190889370933
"(64, 32)",64,0.0,0.00101,0.0001,0.24470982251161066,573,0.5613882863340565
"(64,)",83,0.0,0.0008279473769723085,0.0001,0.999,484,0.4060737527114967
"(64, 32)",112,0.25683666940695343,0.0005756157499781339,0.1,0.9945900243532493,150,-1.0
"(64, 32)",83,0.03723139140729298,0.0006915849224222229,0.0001,0.871133544751837,230,0.5019522776572668
"(64,)",64,0.0474906528751188,0.0006835663950982512,0.0416610222629933,0.5708956352528501,446,0.5390455531453362
"(64, 32)",67,0.0,0.0009558990428105947,0.0001,0.36939752134920706,700,0.5607375271149675
"(64,)",149,0.0,0.0007349669935826338,0.017992794936738277,0.6627178792310051,700,0.545119305856833
"(64, 32)",109,0.0,0.00046887641750455167,0.1,0.999,700,0.5876355748373102
"(64,)",64,0.0,0.0008349524504296931,0.1,0.5398468026060511,700,0.5084598698481562
"(64, 32)",74,0.016338115747793522,1e-06,0.1,0.43390384690847095,150,0.33774403470715836
