hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,recall
"(64, 32)",97,0.1197099871452169,0.0735410370446007,0.0001702197705588,0.2527838932956759,0.38568329718004335
"(64,)",79,0.314353976810197,0.0662931053846396,0.0138435185290646,0.0744976805856707,0.38156182212581347
"(64, 32)",88,0.1712153514631703,0.0856541150537135,0.0062927601987975,0.3073172657056902,0.3822125813449024
"(64,)",70,0.0581236777987863,0.0864862943766452,0.0159425204178294,0.503467121502259,0.3707158351409978
"(64, 32)",117,0.250819056324885,0.0287611888148729,0.0001197474796172,0.0063119507557048,0.3715835140997831
"(64,)",139,0.11280471032758198,0.0727136055731405,0.07808713761570088,0.6124349475971129,0.3199566160520607
"(64, 32)",127,0.352073299796255,0.02423366449127194,0.0969577956223696,0.007159813867487483,0.31149674620390455
"(64, 32)",66,0.1982424484009586,0.07636194266432528,0.09988761087379862,0.9466893354116342,0.3344902386117137
"(64,)",149,0.09789969025458507,0.09606646328299233,0.002426686230762584,0.9353587142515573,0.3210412147505423
"(64, 32)",104,0.06728115866792377,0.029288133958098456,0.057381750477235254,0.9757311655825083,0.3206073752711497
"(64, 32)",66,0.055853241825807365,0.049494718958170925,0.06765430969827002,0.011278233471908716,0.32212581344902386
"(64, 32)",149,0.020535442897241126,0.06777464256846791,0.03994322200724512,0.02825206848844661,0.3689804772234273
"(64,)",109,0.31140093349799663,0.02023980409233575,0.0019731668523147424,0.8472635739376301,0.3316702819956616
"(64, 32)",136,0.06020423247220196,0.06508764891184597,0.032697490537637736,0.38873035573355635,0.3351409978308026
"(64,)",68,0.1145169418461341,0.02930444712735386,0.09983231887462535,0.44044968130914247,0.3130151843817787
"(64,)",146,0.3086218679039192,0.061660752777855266,0.09612990558451545,0.991233345701562,0.3182212581344902
"(64,)",143,0.34259295960677516,0.09498081285135884,0.025801205921568017,0.7242199142056399,0.35921908893709326
"(64,)",84,0.30033885508620184,0.042810870665754994,0.061513273082383316,0.2893937825448601,0.32494577006507597
"(64, 32)",137,0.006392868304771861,0.07906876693867593,0.02639424928551964,0.9966211826126117,0.31648590021691975
"(64, 32)",81,0.11343775331880342,0.06285318045914787,0.0987485188787895,0.13675228430508876,0.31149674620390455
"(64,)",88,0.12839101920022075,0.09901334763436993,0.02397923410679857,0.9022201362401382,0.32776572668112797
"(64,)",135,0.12580409387612687,0.04062971480979878,0.06701551518852558,0.3323085927695182,0.3268980477223427
"(64,)",101,0.0024009790743181555,0.028508414588303447,0.05965135177369742,0.2620523421834251,0.3338394793926247
"(64,)",138,0.16580340046218833,0.0997477216933089,0.08230890204379976,0.3267536515275832,0.31583514099783083
"(64,)",113,0.2753897263049529,0.09663984314552763,0.004716787780652898,0.9354272650693761,0.3221258134490239
"(64,)",110,0.19272730722227385,0.058366831695240054,0.0797710404282949,0.11721024017275056,0.3167028199566161
"(64,)",101,0.037744861810835285,0.06174097750154618,0.05586463928424533,0.27952889908250367,0.3364425162689805
"(64,)",91,0.03254427197129225,0.09563464966462018,0.058991479412761734,0.9666344902145965,0.32212581344902386
"(64, 32)",145,0.04274322007679611,0.0766982728268501,0.0628141052887281,0.9225579395818978,0.3316702819956616
"(64, 32)",128,0.37669176340888344,0.09682407336419711,0.08263150589972419,0.19545420085409107,0.31149674620390455
