hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,precision
"(64,)",67,0.14571418967906163,0.011801425432215087,0.05929466950358696,0.7685316344933578,470,0.7556719022687609
"(64,)",83,0.13355450715284956,0.0022416369003713573,0.0071320676039581185,0.9159268703249316,350,0.7513089005235603
"(64, 32)",132,0.10840900655628677,0.016317863686497895,0.09348194667190282,0.9825199023252579,628,0.7024432809773125
"(64,)",142,0.06237100217543491,0.010805775804020616,0.09262349389943884,0.32467679002485905,224,0.7321116928446771
"(64,)",131,0.22174127153303155,0.012554515101440006,0.010090965022691465,0.9158433924813556,274,0.7425828970331588
"(64, 32)",65,0.3961564180665035,0.007712930915234258,0.05533158830840332,0.8526410060271032,697,0.7835951134380454
"(64,)",66,0.39987216592572433,0.0104166751172701,0.01472527446433233,0.5594903741919682,349,0.7783595113438045
"(64,)",148,0.3979579159672602,0.004103709593414677,0.07410812689116134,0.9259397708893804,466,0.7478184991273997
"(64,)",66,0.2828953542346772,0.01192405460034424,0.042197894585802906,0.11516061326376899,647,0.7722513089005235
"(64, 32)",108,0.009001113009803332,0.002552881645940099,0.08545207688412834,0.9592466771089911,632,0.7452006980802792
"(64,)",98,0.3962248085490281,0.016397834965951236,0.00039479571700936055,0.10118284422404457,352,0.6579406631762652
"(64, 32)",119,0.31116441843759113,0.01260871103707691,0.0012874630406104644,0.7323384135289588,331,0.7155322862129145
"(64, 32)",150,0.3118758671829575,0.01694895500060033,0.000513042394580757,0.41120640422296706,682,0.7050610820244327
"(64, 32)",127,0.2869647047934633,0.0010976933468874448,0.02808164261427372,0.01259719205192453,571,0.7294938917975567
"(64, 32)",69,0.38486849669422946,0.0016157338758326077,0.08527063836474459,0.011124561056744916,300,-1.0
"(64,)",64,0.0,0.00099,0.1,0.999,700,0.5933682373472949
"(64,)",150,0.0,0.00099,0.0001,0.999,700,0.4607329842931937
"(64, 32)",83,3.0772074225210724e-18,0.016477963399847567,0.0001,0.999,150,0.2560191840027549
"(64,)",64,0.0,0.00099,0.04999767173590822,0.999,150,-1.0
"(64, 32)",64,0.11376915628937499,0.00099,0.0001,0.999,472,0.5349040139616056
"(64,)",150,0.22221543554669082,0.008624486133934342,0.041265533968098095,0.09022422498296864,504,0.7722513089005236
"(64,)",150,0.4,0.018009999999999998,0.0753373924476961,0.999,328,0.5951134380453752
"(64, 32)",150,0.4,0.018009999999999998,0.05290579174690696,0.001,700,0.7408376963350785
"(64,)",150,0.0,0.00099,0.0001,0.999,217,0.6326352530541013
"(64, 32)",100,0.05127786386240905,0.018009999999999998,0.051795669995019854,0.999,537,0.5924956369982548
"(64, 32)",150,0.14460982036934,0.018009999999999998,0.0001,0.5795961068937164,495,0.7033158813263525
"(64, 32)",150,0.2647158787961343,0.018009999999999998,0.06338646766910519,0.6007996129952236,150,0.6762652705061083
"(64, 32)",98,0.4,0.018009999999999998,0.0001,0.001,700,-1.0
"(64, 32)",124,0.27536010505065966,0.00099,0.049506868574886995,0.001,407,0.7216404886561955
"(64, 32)",150,0.4,0.00099,0.1,0.999,150,-1.0
