hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,auc
"(64, 32)",103,0.21775585736114347,0.0006558283215076107,0.003635036732548939,0.3879205316413784,358,-1.0
"(64,)",139,0.27319839447883343,0.0005028543047104651,0.07448062746729557,0.5170362785403648,600,0.676004095213355
"(64,)",142,0.314863635743853,0.0002943757641874589,0.08602278232200386,0.9252808877320635,264,-1.0
"(64, 32)",115,0.07105739336718277,0.0001994782992741222,0.007873747460984978,0.9707705724894561,436,0.7260012154331569
"(64, 32)",73,0.009121828312411531,0.00036749899653015235,0.03431395495202198,0.8647069392550812,404,0.6654405874087952
"(64,)",68,0.02205836815520701,0.0005015743042810656,0.03631610161732488,0.7148847138176773,515,0.688779451974273
"(64,)",142,0.15677065929242184,0.0002893532880536541,0.022163428210949222,0.9393380378480447,662,0.6837740384615385
"(64, 32)",139,0.0,1e-06,0.0440632810800817,0.8874909036068404,488,0.5020156683744672
"(64,)",64,0.3409426179484736,0.0007028414076482711,0.07703076768804261,0.4555191336742362,700,0.6841701089718308
"(64,)",64,0.035887357382561366,0.00101,0.0001,0.40442235705948776,700,0.7116981412026152
"(64, 32)",150,0.4,1.000000000000021e-06,0.1,0.001,700,0.5840770434825479
"(64,)",64,0.0,0.0007841067160108978,0.025556694764095736,0.49802239453424013,150,-1.0
"(64, 32)",64,0.0,0.00026499382053091545,0.0001,0.999,584,0.6562421309709813
"(64,)",64,0.0,0.00101,0.0001,0.001,609,0.7130258383834169
"(64,)",150,0.3214842736586069,0.00101,0.1,0.001,549,0.6844258168620967
"(64,)",64,0.4,0.00101,0.0001,0.6283337656929743,568,0.7056187474401954
"(64,)",64,0.0,2.333224099908421e-05,0.0001,0.999,700,0.6995136963768336
"(64, 32)",122,0.0,1e-06,0.0001,0.999,558,0.5113698462600307
"(64, 32)",64,0.0,0.0010016708566525406,0.0001,0.001,494,0.6958595634300624
"(64,)",78,0.21810083638157676,0.00101,0.09465111429544378,0.001,421,0.688502080552311
"(64, 32)",130,0.26764019684521484,0.0008737682974864795,0.08797307950589696,0.9268740751789513,634,0.7215489093336166
"(64, 32)",100,0.26778138813622976,2.0201159748959953e-05,0.05865297467475448,0.13801619207783108,209,-1.0
"(64,)",114,0.34691956541364655,0.0009724885605756746,0.020481003625655744,0.9864111551786148,455,0.6869224203805956
"(64, 32)",113,0.36314316880603975,8.102144466173488e-06,0.029843007657766228,0.0291352239913817,633,0.6285256331250095
"(64,)",120,0.17013756645227143,2.307091164705059e-05,0.01510497840539531,0.027234792963512236,455,-1.0
"(64, 32)",124,0.09651410384021052,0.0009947775825590829,0.03578878829715517,0.4547487282015458,650,0.67865259232362
"(64, 32)",64,0.0,1e-06,0.0001,0.5070985785212797,700,0.5880798668522367
"(64, 32)",64,0.27438640572189177,0.00101,0.0001,0.999,700,0.6614656019143547
"(64, 32)",150,0.4,0.00101,0.1,0.001,700,0.6548748871789816
"(64,)",71,0.004579631935635066,0.00030593749912402384,0.005989161436801599,0.5391064578975087,700,0.7042081054791196
