hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,auc
"(64,)",76,0.255367576994404,0.0752222749380161,0.0169591912510147,0.1060342032798176,0.5688136514380413
"(64,)",74,0.1294433040393352,0.0685744645216677,0.016389288755654,0.3018694074357687,0.5671304376886671
"(64, 32)",130,0.2246879202771424,0.044674343034242,0.0084402481933427,0.5847441620210893,0.5547692952383843
"(64, 32)",113,0.2581412543546982,0.0298720452597606,0.0073525654901056,0.1865846927427815,0.5539798325318932
"(64,)",72,0.1267550485856405,0.0647154476842526,0.0332258500536064,0.5638423170018275,0.5521802306289155
"(64,)",83,0.1686588110849276,0.06564636462067404,0.07881115895939257,0.2514055007768895,0.518510907137873
"(64,)",138,0.24763314081484555,0.09968751015364016,0.09999378449633609,0.8942042310228434,0.5350405017975517
"(64, 32)",127,0.3907697441130181,0.04234195844682655,0.05610206714899123,0.021677244350991314,0.5120774781752955
"(64,)",127,0.3130155240537348,0.07067598621240982,0.069896636583635,0.37542269131649375,0.5200161670623302
"(64, 32)",104,0.1506776625253463,0.071489422280933,0.09948324116833154,0.5842351314062721,0.5120715289997422
"(64, 32)",103,0.011655536467242692,0.08901976722982557,0.014597239405735294,0.1215762238448991,0.5717823018900838
"(64,)",143,0.08996627804663888,0.03658406298413126,0.0017054672850553363,0.8598481246429444,0.5275538080411997
"(64,)",117,0.14571301986443153,0.04649219425348432,0.07097479873113145,0.05104780241658791,0.5245398751194575
"(64,)",75,0.12914355842784964,0.06408500424927169,0.007854916991431411,0.8152300274195181,0.5395591020963852
"(64,)",110,0.1187054172241991,0.026967776513891793,0.008791406445451969,0.3809551137732128,0.5577065999347723
"(64,)",104,0.1633967915162407,0.026276882289780295,0.05677317626795516,0.9915149118400722,0.5173224585880497
"(64, 32)",150,0.348471534552603,0.04189248287445693,0.03317754546480653,0.776874457435249,0.5337667856817803
"(64,)",64,0.15439229412662905,0.022431279369230818,0.0995520977351041,0.0045219666860835004,0.5136576834905875
"(64, 32)",150,0.037630118186308674,0.05338678486691199,0.08543581797543197,0.4877503228467099,0.5122671170342672
"(64, 32)",118,0.14453314328004205,0.031173655527395774,0.04728776041766787,0.3233580295629615,0.5192710861535428
"(64,)",106,0.09778649413747818,0.07252808221809437,0.05131521769027443,0.5815796303510506,0.5399047468258422
"(64,)",142,0.09379535538587913,0.023575689005715113,0.026534850254061455,0.29728825868658165,0.5599592517027441
"(64, 32)",131,0.05463948727145584,0.07842264342630442,0.0008548958089489254,0.9972557615450856,0.5126379687286683
"(64, 32)",77,0.27369218735330186,0.09818161924894764,0.07497281648987195,0.9978293106509083,0.5222463968379777
"(64, 32)",146,0.35230360451044374,0.04999853906384965,0.040546870898873086,0.6233630884116942,0.5165531898957875
"(64, 32)",81,0.3559641768898578,0.023075663580955183,0.09787578746899846,0.9898957295280515,0.526193141524961
"(64, 32)",126,0.14574438352403296,0.061035811781398955,0.020743105419256853,0.6620682881910807,0.5420191928461995
"(64,)",121,0.3820678450707145,0.08573096924751557,0.00024737244737996206,0.9753978841612323,0.5158928551112661
"(64,)",98,0.3612991713937393,0.09846268494454855,0.07284452951190071,0.631191167602254,0.5228816905708175
"(64, 32)",128,0.025242523589267492,0.05616006975426106,0.0061051665438855585,0.9888578326563072,0.5154654743981616
