hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,f1_score
"(64, 32)",130,0.025419687602068215,0.0006556824269599943,0.04078412336213417,0.4891596080513854,201,-1.0
"(64, 32)",73,0.15577049156887657,0.0005951644669389046,0.09348134611870199,0.6032269266238934,535,0.3870069605568446
"(64,)",82,0.19609324210994217,0.0002277749886358874,0.09942319380723966,0.9896913860483494,532,0.4540389972144847
"(64,)",80,0.2798228815089079,0.0006434313035636995,0.05676791636727113,0.7248894392802016,417,0.40237833970424497
"(64,)",120,0.3979941708222009,0.0007530397956168091,0.020036053829571132,0.22805120086789538,672,0.437524870672503
"(64, 32)",64,0.4,0.00101,0.006762362909233701,0.001,507,0.4199135585169588
"(64, 32)",140,0.15983016123628066,0.0001472728241926482,0.08144199379240154,0.5030453032115227,700,-1.0
"(64,)",150,0.2514451401059432,0.0001798750825476651,0.09347195698038792,0.8056611287506624,177,-1.0
"(64, 32)",101,0.4,1e-06,0.1,0.999,700,0.24886799024730058
"(64,)",88,0.0,0.00101,0.0001,0.001,150,-1.0
"(64,)",150,0.0,1e-06,0.0046093843571242,0.999,436,0.288052943225357
"(64,)",64,0.4,1e-06,0.09016229445562128,0.999,700,0.36502960640891674
"(64,)",64,0.4,0.0008580203364609442,0.0001,0.8822900517849964,634,0.4235972940708317
"(64, 32)",145,0.1720312469944662,0.0009983387887973684,0.04682416193359443,0.001,460,-1.0
"(64,)",64,0.2462012055281246,0.00101,0.0001,0.04313920414143968,286,-1.0
"(64,)",64,0.1800374026721041,0.0005765066764349022,0.1,0.9548446422317861,318,0.453701633178008
"(64,)",90,0.4,1e-06,0.04845694138260488,0.999,700,0.3430860327412052
"(64,)",64,0.045672716290824936,0.0006071678221565648,0.0001,0.999,438,0.3437826541274817
"(64,)",145,0.38485444191226564,0.0008281094442133954,0.0001,0.8057889313838322,288,0.40752662955141106
"(64,)",146,0.4,0.0005961320564889838,0.0001,0.09638562733465525,700,-1.0
"(64,)",100,0.3961904836026757,0.0009171908183206849,0.0001,0.5063239865254312,508,0.4504576203740549
"(64,)",119,0.4,0.00101,0.0001,0.6998107061126264,596,0.4405093513728611
"(64,)",72,0.04551681140228667,0.00048680386166322445,0.1,0.8305908627423385,402,0.3905129065536327
"(64, 32)",73,0.03739524396079607,0.00101,0.1,0.999,222,0.4777158774373259
"(64,)",102,0.4,0.00101,0.026247410220236495,0.5333399306126939,219,-1.0
"(64,)",94,0.4,0.00101,0.005389969309743025,0.001,691,0.448723897911833
"(64, 32)",64,0.0,1e-06,0.0381878928892798,0.999,534,0.3187189116543465
"(64, 32)",64,0.4,0.00101,0.0001,0.001,700,0.4200159172304019
"(64, 32)",72,0.03658057056910364,0.00021836550647718377,0.07659987899993381,0.11190538165558556,474,-1.0
"(64,)",85,0.4,0.000883396524180376,0.04678139293100282,0.37748035911643063,700,0.42511320097526994
