hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,f1_score
"(64,)",99,0.0010563672487021948,0.009189456466177253,0.008468628660763531,0.3990766994690828,488,0.46357308584686774
"(64,)",105,0.3984895991414878,0.007028501953325501,0.035362515952089134,0.6389688463338716,424,0.4319052594914664
"(64, 32)",86,0.00478495362996463,0.008641758807563833,0.014349594838979182,0.3407801252002821,501,0.42964123998606757
"(64,)",109,0.16253249254206206,0.0017238937428884077,0.07030950574053543,0.2708151799329795,250,0.4251890171110227
"(64, 32)",139,0.27855050169534473,0.007836707761025382,0.0845953103187574,0.007848463605033815,162,0.389063044235458
"(64, 32)",125,0.39270190812100647,0.007928314251072112,0.0016290976709790025,0.017795981144401868,202,-1.0
"(64,)",148,0.24216731308716583,0.015352303734690346,0.1,0.7044927484010906,370,0.39275766016713093
"(64,)",95,0.3938562894579052,0.008741078700360963,0.05114684790935164,0.4541240631278195,558,0.43036211699164345
"(64, 32)",64,0.0,0.01224733861358184,0.02856248209414404,0.999,700,0.47751691205730207
"(64, 32)",94,0.0,0.012308769003417425,0.1,0.34792775285896993,178,-1.0
"(64,)",89,0.20390141397383965,0.013112849463375728,0.04313228513805032,0.999,700,0.4751740139211137
"(64,)",150,0.4,0.018009999999999998,0.1,0.999,700,0.4948135248778799
"(64,)",150,0.4,0.01627693977325637,0.016290162665767206,0.9025087818611202,700,0.43394312452278316
"(64, 32)",78,0.0064001545179631,0.0034660019162010935,0.0001,0.25597771189560276,700,0.46896140071627535
"(64,)",98,0.30239553572860967,0.015806414245173997,0.1,0.4150496683212034,700,0.42260246717071226
"(64, 32)",150,0.28715649176974406,0.005084812577344075,0.09607297530518742,0.42437064361568755,307,-1.0
"(64,)",77,0.24549153316758426,0.01501221309210025,0.0070920249494905545,0.001,172,0.4552204176334107
"(64,)",64,0.08347041918478511,0.006619012063716909,0.06613237224474634,0.9499061700562424,544,0.43729054392795513
"(64,)",123,0.030722188311938882,0.013680909071737957,0.08995699386832223,0.9820027375367707,158,0.49084759251890175
"(64,)",133,0.3784578738398632,0.017843338182280535,0.06895098384063093,0.9948071069508788,626,0.4862713887783525
"(64,)",71,0.37302097003717605,0.016847532992127115,0.03860738539291675,0.999,671,0.4737819025522042
"(64, 32)",70,0.3648246578121611,0.015502172086638856,0.06270529251241014,0.2780423482795894,171,0.39170669883377596
"(64,)",117,0.28190118925924984,0.014968652049006062,0.0010893511213792588,0.09396419377448219,469,0.448723897911833
"(64, 32)",72,0.048266591220595664,0.013993784959881841,0.0001,0.3784856822771291,367,0.49204138479904497
"(64, 32)",141,0.10916805089756845,0.00099,0.07405958701097211,0.013679744760481328,572,0.3991640543364682
"(64,)",94,0.0,0.010531588432010788,0.08865221432538073,0.013505523341976858,286,0.43240215317825537
"(64, 32)",133,0.0,0.00099,0.0001,0.24361941808291088,642,0.4413052128929566
"(64, 32)",81,0.0,0.018009999999999998,0.0001,0.33177254856279653,389,0.43513728611221647
"(64,)",139,0.3951714497716259,0.009829691272448074,0.1,0.05508696367312015,390,0.41971438523162663
"(64,)",129,0.3368395780452887,0.00099,0.0001,0.001,150,-1.0
