hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,recall
"(64,)",135,0.3753728993339936,0.010552922512620175,0.017179672082888016,0.7291447279616649,357,0.5123644251626898
"(64, 32)",148,0.22638065706351368,0.014127308956704259,0.02735112141400645,0.9905861576772025,466,0.3735357917570499
"(64,)",96,0.017814733563288512,0.007868327414828347,0.08947647411786856,0.2581467191113431,489,0.5255965292841649
"(64, 32)",148,0.361865139443749,0.013048111409194433,0.08559257063057375,0.07322689593906502,524,0.486117136659436
"(64,)",87,0.18612736915788913,0.003917249315090971,0.04093421583633918,0.5566017686416499,452,0.5199566160520608
"(64, 32)",81,0.0882429051452882,0.017007090751099622,0.07356553368821019,0.6624069518967353,540,0.479175704989154
"(64, 32)",64,0.1476482072076851,0.012299023866996226,0.09641360066858191,0.007119972550585899,306,0.48308026030368767
"(64,)",83,0.34259850046086826,0.01023391895841267,0.03351729924966587,0.0013265445965584888,391,0.5383947939262472
"(64, 32)",65,0.03303207445173287,0.010170800885880116,0.000374345798526647,0.03626053109384954,634,0.4026030368763558
"(64,)",149,0.3547166231047729,0.017684802244609357,0.06943999743143203,0.9737497733688665,394,0.39739696312364425
"(64, 32)",148,0.35258670200776954,0.0010116621304692554,0.09730649560417388,0.7640657745389157,174,-1.0
"(64,)",64,0.4,0.00099,0.1,0.999,700,0.3804772234273319
"(64, 32)",84,0.00041598601049983594,0.0014377273595477438,0.03818016511102833,0.9201007186719083,574,0.4438177874186551
"(64, 32)",149,0.09347954793159902,0.016692180777806726,0.09416042272942646,0.10886652484481645,696,0.4841648590021692
"(64,)",64,0.009239504603700778,0.0010235038906960291,0.04563750338944975,0.9415573335008911,335,0.4140997830802603
"(64,)",129,0.37748169567334827,0.015420935518894752,0.03634279141834672,0.9883425728227047,274,0.35856832971800434
"(64, 32)",80,0.23180345060377816,0.017992518582061967,0.02763465662924093,0.6904422040240576,159,0.496529284164859
"(64,)",64,0.10490633983333848,0.018009999999999998,0.00010000000000000128,0.001,700,0.3275488069414317
"(64,)",128,0.4,0.018009999999999998,0.0001,0.999,700,0.31127982646420826
"(64,)",105,0.1738602511086229,0.013175721043277893,0.004970698399089215,0.0779684692137763,163,0.5206073752711498
"(64, 32)",112,0.18283666728643266,0.004627655858266352,0.021740124921579774,0.0024832427095965934,255,-1.0
"(64, 32)",150,0.4,0.00099,0.1,0.0010000000000000046,700,0.4741865509761388
"(64,)",64,0.0,0.006658152599878125,0.1,0.001,150,0.531236442516269
"(64,)",64,0.0,0.008988986809258378,0.0001,0.001,700,0.3355748373101952
"(64, 32)",64,0.0,0.018009999999999998,0.1,0.001,317,0.5013015184381778
"(64,)",130,0.06938934448590099,0.00099,0.0001,0.001,150,-1.0
"(64,)",64,0.37425783939867663,0.01442669171103619,0.020616655452128943,0.7119408500484375,150,0.5106290672451193
"(64,)",64,0.0,0.009182893948755072,0.1,0.4231856335132312,150,0.5130151843817787
"(64,)",150,0.21271053491654626,0.008558220954485914,0.041437129126421314,0.5720791654713366,700,0.5188720173535792
"(64, 32)",150,0.4,0.005696235045795663,0.1,0.4840678934005552,648,0.48351409978308024
