hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,precision
"(64,)",67,0.14457775966632966,0.002568267185911446,0.04871737791206505,0.9829086378929268,681,0.668411867364747
"(64,)",143,0.2269314068034842,0.017730410971857676,0.010402117553988911,0.1949698325366069,420,0.6867364746945899
"(64, 32)",74,0.020181358275136237,0.0050686934904707985,0.07904774209836841,0.16240238491467976,483,0.6649214659685864
"(64,)",100,0.3771582039028261,0.009494733658631682,0.00847404656736605,0.8478653221297743,508,0.7530541012216405
"(64, 32)",144,0.19301750620456773,0.00790360732581602,0.05511067944156884,0.7609866209404722,221,0.7390924956369982
"(64, 32)",111,0.08513202088505414,0.01355231873838645,0.09455000596141444,0.2659790182205889,586,0.6518324607329843
"(64,)",141,0.39081685539316247,0.01109604956439845,0.016944142828831894,0.07412924432990191,151,0.7661431064572426
"(64, 32)",134,0.38862602165669635,0.002296168155997933,0.03615573471031369,0.012082965810928728,688,0.7260034904013961
"(64, 32)",107,0.010545004377247839,0.004735939995740243,0.07301495503748365,0.9718205318498323,152,0.6972076788830716
"(64,)",90,0.39042816324753493,0.0010862529717606004,0.07269791120095134,0.31913904984817626,194,-1.0
"(64, 32)",75,0.2633163978236103,0.018009999999999998,0.0001,0.999,150,0.5671902268760908
"(64,)",71,0.0,0.00099,0.034292878030072395,0.999,700,0.5924956369982548
"(64, 32)",120,0.0,0.0014351684749281616,0.019715736236110053,0.9096331365663151,600,0.7146596858638743
"(64,)",141,0.021161100859472457,0.0019687314824381567,0.04583803390326461,0.6740859335429893,676,0.7329842931937173
"(64,)",80,0.0,0.013508870552813305,0.1,0.6592461498500028,588,0.756544502617801
"(64,)",64,0.0,0.01133164954032689,0.07132739405232837,0.999,700,0.5994764397905759
"(64, 32)",150,0.4,0.001136492638392622,0.1,0.001,150,-1.0
"(64,)",150,0.0,0.011087281057107162,0.026255420792802426,0.999,150,0.5933682373472949
"(64,)",87,0.4,0.014379155344057978,0.0404542831793044,0.999,310,0.5855148342059338
"(64,)",64,0.0,0.018009999999999998,0.1,0.999,700,0.5994764397905759
"(64,)",150,0.3504697299478711,0.017232318879463974,0.03370224600725322,0.10002649782509734,585,0.7774869109947644
"(64, 32)",150,0.4,0.006221541874529592,0.007424344403603833,0.31713360327399676,700,0.7347294938917975
"(64, 32)",133,0.020218712777100432,0.00771283209517744,0.003943001173879465,0.020203103400242107,653,0.5767888307155322
"(64,)",150,0.0,0.018009999999999998,0.017808453805032393,0.0010000000000000002,150,0.6902268760907504
"(64,)",150,0.4,0.01292340721824261,0.06375619175759145,0.07116480183574311,700,0.7513089005235603
"(64, 32)",64,0.4,0.018009999999999998,0.03756633580313815,0.5326520935866066,700,0.668411867364747
"(64, 32)",64,0.0,0.018009999999999998,0.012240621786268965,0.29798705482651666,406,0.5095498627803796
"(64,)",64,0.4,0.015353052812445091,0.009595042153710794,0.6701334615314132,700,0.7713787085514834
"(64,)",64,0.0,0.007397760551648544,0.03192386412383822,0.10988908014513414,150,0.7513089005235603
"(64,)",64,0.4,0.00783428856643945,0.0746709576084236,0.8543010831306685,150,0.7609075043630018
